Pillars			
	Target Speed	7	m/s
	Penalty Time	5	sec
	Collision penalty	35	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.273	7.042	0	0	7.556	7.556	7.556	7.556	0	14.273	1	7.042	100.60%
2	100	14.435	6.971	0	0	7.556	7.556	7.556	7.556	0	14.435	1	6.971	99.59%
3	100	14.848	6.958	0	0	7.556	7.636	7.806	7.666	0	14.848	1	6.958	99.40%
4	100	16.253	6.546	0	0	8.969	9.323	9.819	9.37	0	16.253	1	6.546	93.51%
5	100	17.164	6.649	0	0	10.517	10.631	11.168	10.772	0	17.164	1	6.649	94.99%
6	100	15.873	6.652	0	0	12.397	12.988	13.024	12.803	0	15.873	1	6.652	95.03%
7	100	16.968	6.579	0	0	13.316	13.829	15.058	14.068	0	16.968	1	6.579	93.99%
8	100	17.796	6.466	0	0	16.049	20.279	21.104	19.144	0	17.796	1	6.466	92.37%
9	100	21.644	5.184	0	0	22.429	23.041	23.323	22.931	0	21.644	1	5.184	74.06%
10	100	31.716	4.027	0	0	21.544	20.39	21.685	21.206	0	31.716	1	4.027	57.53%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.32	7.042	0	0	7.468	7.468	7.468	7.468	0	14.32	1	7.042	100.60%
2	100	14.362	7.011	0	0	7.468	7.468	7.468	7.468	0	14.362	1	7.011	100.16%
3	100	17.02	6.184	0	0	7.468	7.634	7.441	7.514	0	17.02	1	6.184	88.34%
4	100	16.981	6.293	0	0	7.566	7.92	8.149	7.878	0	16.981	1	6.293	89.90%
5	100	18.044	6.106	0	0	8.564	9.458	9.441	9.154	0	18.044	1	6.106	87.23%
6	100	19.341	5.91	0	0	10.087	12.757	13.378	12.074	0	19.341	1	5.91	84.43%
7	100	22.661	5.193	0	0	13.874	14.131	16.198	14.734	0	22.661	1	5.193	74.19%
8	100	18.974	6.065	0	0	17.498	21.494	22.016	20.336	0	18.974	1	6.065	86.64%
9	100	22.838	4.958	0	0	22.161	23.251	24.897	23.436	0	22.838	1	4.958	70.83%
10	100	27.796	4.335	0	0	22.328	19.825	21.127	21.093	0	27.796	1	4.335	61.93%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.343	7.121	0	0	8.636	8.636	8.636	8.636	0	14.343	1	7.121	101.73%
2	100	14.75	6.91	0	0	8.636	8.636	8.636	8.636	0	14.75	1	6.91	98.71%
3	100	15.287	6.694	0	0	8.636	8.636	8.654	8.642	0	15.287	1	6.694	95.63%
4	100	15.803	6.593	0	0	8.775	8.777	8.893	8.815	0	15.803	1	6.593	94.19%
5	100	17.752	6.106	0	0	9.01	9.286	11.53	9.942	0	17.752	1	6.106	87.23%
6	100	19.447	5.763	0	0	12.465	14.845	18.981	15.43	0	19.447	1	5.763	82.33%
7	100	16.341	6.283	0	0	20.662	21.55	21.63	21.281	0	16.341	1	6.283	89.76%
8	100	18.404	6.049	0	0	21.656	21.642	21.264	21.521	0	18.404	1	6.049	86.41%
9	100	21.855	5.31	0	0	21.672	21.734	21.375	21.594	0	21.855	1	5.31	75.86%
10	100	28.825	4.134	0	0	21.07	22.449	21.55	21.69	0	28.825	1	4.134	59.06%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.275	7.043	0	0	7.467	7.467	7.467	7.467	0	14.275	1	7.043	100.61%
2	100	14.602	6.885	0	0	7.511	7.56	7.561	7.544	0	14.602	1	6.885	98.36%
