Pillars			
	Target Speed	5	m/s
	Penalty Time	5	sec
	Collision penalty	25	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	20.193	5.056	0	0	7.803	7.805	7.805	7.804	0	20.193	1	5.056	101.12%
2	100	20.649	4.94	0	0	7.805	7.805	7.805	7.805	0	20.649	1	4.94	98.80%
3	100	21.066	4.883	0	0	7.805	7.805	7.805	7.805	0	21.066	1	4.883	97.66%
4	100	22.146	4.698	0	0	7.805	7.805	7.984	7.865	0	22.146	1	4.698	93.96%
5	100	26.099	4.445	0	0	8.011	8.104	8.594	8.236	0	26.099	1	4.445	88.90%
6	100	23.956	4.38	0	0	10.339	12.043	12.188	11.523	0	23.956	1	4.38	87.60%
7	100	25.184	4.406	0	0	12.473	12.677	13.061	12.737	0	25.184	1	4.406	88.12%
8	100	26.732	4.216	0	0	13.502	17.695	18.708	16.635	0	26.732	1	4.216	84.32%
9	100	25.392	4.192	0	0	19.464	19.188	19.671	19.441	0	25.392	1	4.192	83.84%
10	100	52.172	3.459	0	0	19.017	19.203	17.629	18.616	0	52.172	1	3.459	69.18%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.894	5.052	0	0	5.367	5.367	5.367	5.367	0	19.894	1	5.052	101.04%
2	100	19.886	5.04	0	0	5.367	5.367	5.367	5.367	0	19.886	1	5.04	100.80%
3	100	21.273	4.846	0	0	5.367	5.586	5.908	5.620	0	21.273	1	4.846	96.92%
4	100	23.175	4.552	0	0	5.909	5.909	5.909	5.909	0	23.175	1	4.552	91.04%
5	100	24.967	4.404	0	0	6.146	6.956	7.028	6.710	0	24.967	1	4.404	88.08%
6	100	24.884	4.441	0	0	8.346	9.467	9.808	9.207	0	24.884	1	4.441	88.82%
7	100	25.64	4.274	0	0	11.056	11.362	11.06	11.159	0	25.64	1	4.274	85.48%
8	100	24.81	4.429	0	0	13.514	18.3	19.266	17.027	0	24.81	1	4.429	88.58%
9	100	56.842	3.806	0	0	19.574	18.342	18.534	18.817	0	56.842	1	3.806	76.12%
10	100	54.153	3.344	0	0	19.237	19.724	19.096	19.352	0	54.153	1	3.344	66.88%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	20.192	5.065	0	0	7.831	7.832	7.832	7.832	0	20.192	1	5.065	101.30%
2	100	20.652	4.934	0	0	7.832	7.832	7.832	7.832	0	20.652	1	4.934	98.68%
3	100	21.447	4.752	0	0	7.832	7.832	7.832	7.832	0	21.447	1	4.752	95.04%
4	100	21.957	4.741	0	0	7.832	7.832	8.433	8.032	0	21.957	1	4.741	94.82%
5	100	26.023	4.522	0	0	8.406	8.422	9.839	8.889	0	26.023	1	4.522	90.44%
6	100	23.427	4.505	0	0	10.663	10.963	11.005	10.877	0	23.427	1	4.505	90.10%
7	100	24.943	4.447	0	0	11.344	11.199	11.04	11.194	0	24.943	1	4.447	88.94%
8	100	29.634	3.949	0	0	11.884	16.423	17.989	15.432	0	29.634	1	3.949	78.98%
9	100	25.957	4.114	0	0	19.725	19.066	19.786	19.526	0	25.957	1	4.114	82.28%
10	100	30.099	3.711	0	0	18.57	14.765	17.245	16.860	0	30.099	1	3.711	74.22%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.906	5.063	0	0	3.964	3.964	3.964	3.964	0	19.906	1	5.063	101.26%
2	100	19.963	5.055	0	0	3.964	3.964	3.964	3.964	0	19.963	1	5.055	101.10%
3	100	21.213	4.817	0	0	4.024	4.2	4.245	4.156	0	21.213	1	4.817	96.34%
4	100	21.266	4.854	0	0	4.245	4.26	5.695	4.733	0	21.266	1	4.854	97.08%
5	100	25.023	4.569	0	0	6.457	6.517	6.769	6.581	0	25.023	1	4.569	91.38%
6	100	25.819	4.417	0	0	7.383	8.184	9.067	8.211	0	25.819	1	4.417	88.34%
7	100	25.538	4.304	0	0	10.354	10.811	10.886	10.684	0	25.538	1	4.304	86.08%
8	100	26.403	4.309	0	0	12.468	16.445	17.504	15.472	0	26.403	1	4.309	86.18%
9	100	26.678	4.094	0	0	19.066	18.921	19.28	19.089	0	26.678	1	4.094	81.88%
10	100	39.587	3.686	0	0	18.864	19.999	17.224	18.696	0	39.587	1	3.686	73.72%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.864	5.066	0	0	3.964	3.964	3.964	3.964	0	19.864	1	5.066	101.32%
2	100	20.402	4.98	0	0	3.964	4.105	4.151	4.073	0	20.402	1	4.98	99.60%
3	100	21.474	4.787	0	0	4.179	4.298	4.35	4.276	0	21.474	1	4.787	95.74%
4	100	22.87	4.677	0	0	4.386	4.386	4.487	4.420	0	22.87	1	4.677	93.54%
5	100	25.325	4.464	0	0	4.704	4.658	5.143	4.835	0	25.325	1	4.464	89.28%
6	100	23.707	4.551	0	0	5.605	7.087	7.23	6.641	0	23.707	1	4.551	91.02%
7	100	26.191	4.323	0	0	9.541	10.639	10.554	10.245	0	26.191	1	4.323	86.46%
8	100	24.817	4.555	0	0	13.499	18.296	18.963	16.919	0	24.817	1	4.555	91.10%
9	100	24.32	4.355	0	0	19.933	19.859	20.119	19.970	0	24.32	1	4.355	87.10%
10	100	30.451	3.688	0	0	18.911	15.507	17.562	17.327	0	30.451	1	3.688	73.76%

Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.868	5.051	0	0	5.33	5.33	5.33	5.330	0	19.868	1	5.051	101.02%
2	100	20.334	4.984	0	0	5.33	5.33	5.33	5.330	0	20.334	1	4.984	99.68%
3	100	20.641	4.986	0	0	5.33	5.362	5.424	5.372	0	20.641	1	4.986	99.72%
4	100	22.054	4.836	0	0	6.22	6.446	6.523	6.396	0	22.054	1	4.836	96.72%
5	100	23.063	4.919	0	0	6.54	6.559	7.602	6.900	0	23.063	1	4.919	98.38%
6	100	22.373	4.835	0	0	8.479	9.059	9.623	9.054	0	22.373	1	4.835	96.70%
7	100	23.941	4.751	0	0	10.416	10.544	10.823	10.594	0	23.941	1	4.751	95.02%
8	100	22.791	4.817	0	0	13.626	18.387	19.255	17.089	0	22.791	1	4.817	96.34%
9	100	22.877	4.744	0	0	20.052	21.056	20.537	20.548	0	22.877	1	4.744	94.88%
10	100	40.796	3.67	0	0	19.915	19.95	17.578	19.148	0	40.796	1	3.67	73.40%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.876	5.051	0	0	5.433	5.433	5.433	5.433	0	19.876	1	5.051	101.02%
2	100	20.063	5.019	0	0	5.491	5.527	5.527	5.515	0	20.063	1	5.019	100.38%
3	100	21.139	4.924	0	0	5.527	5.584	5.668	5.593	0	21.139	1	4.924	98.48%
4	100	21.845	4.87	0	0	6.19	6.325	6.334	6.283	0	21.845	1	4.87	97.40%
5	100	23.241	4.888	0	0	6.557	6.707	7.807	7.024	0	23.241	1	4.888	97.76%
6	100	22.75	4.866	0	0	8.75	9.175	10.558	9.494	0	22.75	1	4.866	97.32%
7	100	23.115	4.761	0	0	11.545	11.967	12.088	11.867	0	23.115	1	4.761	95.22%
8	100	23.423	4.848	0	2	13.495	16.83	17.94	16.088	0	23.423	0	4.848	96.96%
9	100	34.876	4.732	0	0	18.735	17.898	18.955	18.529	0	34.876	1	4.732	94.64%
10	100	22.334	4.821	0	0	17.735	18.613	17.12	17.823	0	22.334	1	4.821	96.42%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.905	5.079	0	0	5.411	5.411	5.411	5.411	0	19.905	1	5.079	101.58%
