Pillars			
	Target Speed	1	m/s
	Penalty Time	5	sec
	Collision penalty	5	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	100.302	1.009	0	0	7.078	7.078	7.078	7.078	0	100.302	1	1.009	100.90%
2	100	100.012	1.001	0	0	7.078	7.078	7.078	7.078	0	100.012	1	1.001	100.10%
3	100	101.732	1.011	0	0	7.078	7.102	7.074	7.085	0	101.732	1	1.011	101.10%
4	100	108.517	1.017	0	0	7.075	7.075	7.075	7.075	0	108.517	1	1.017	101.70%
5	100	112.568	1.041	0	0	7.075	7.075	8.153	7.434	0	112.568	1	1.041	104.10%
6	100	104.757	1.027	0	0	8.537	9.067	9.475	9.026	0	104.757	1	1.027	102.70%
7	100	107.099	1.014	0	0	11.354	12.592	12.906	12.284	0	107.099	1	1.014	101.40%
8	100	106.713	1.019	0	0	15.135	19.697	20.825	18.552	0	106.713	1	1.019	101.90%
9	100	103.268	1.044	0	0	21.792	21.325	21.433	21.517	0	103.268	1	1.044	104.40%
10	100	193.759	0.918	0	0	21.658	20.771	20.897	21.109	0	193.759	1	0.918	91.80%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	100.438	1.01	0	0	7.078	7.078	7.078	7.078	0	100.438	1	1.01	101.00%
2	100	99.942	1.012	0	0	7.078	7.078	7.078	7.078	0	99.942	1	1.012	101.20%
3	100	101.79	1.034	0	0	7.078	7.35	8.671	7.7	0	101.79	1	1.034	103.40%
4	100	109.2	1.009	0	0	8.671	8.671	8.671	8.671	0	109.2	1	1.009	100.90%
5	100	111.065	1.008	0	0	8.671	8.671	9.221	8.854	0	111.065	1	1.008	100.80%
6	100	105.091	1.01	0	0	9.524	9.789	10.113	9.809	0	105.091	1	1.01	101.00%
7	100	106.981	1.017	0	0	11.695	12.633	12.753	12.36	0	106.981	1	1.017	101.70%
8	100	106.673	1.016	0	0	15.359	19.912	20.616	18.629	0	106.673	1	1.016	101.60%
9	100	102.429	1.017	0	0	21.716	22.133	21.715	21.855	0	102.429	1	1.017	101.70%
10	100	121.732	0.902	0	0	20.858	17.93	19.184	19.324	0	121.732	1	0.902	90.20%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	99.84	1.003	0	0	5.617	5.617	5.617	5.617	0	99.84	1	1.003	100.30%
2	100	101.775	1.008	0	0	5.617	5.617	5.617	5.617	0	101.775	1	1.008	100.80%
