Pillars			
	Target Speed	1	m/s
	Penalty Time	5	sec
	Collision penalty	5	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
3	100	103.424	0.978	0	0	5.623	5.711	5.711	5.682	0	103.424	1	0.978	97.80%
4	100	114.209	1.046	0	0	7.879	8.671	9.676	8.742	0	114.209	1	1.046	104.60%
5	100	105.929	1.013	0	0	10.353	10.353	10.032	10.246	0	105.929	1	1.013	101.30%
6	100	108.053	1.024	0	0	9.771	9.963	10.698	10.144	0	108.053	1	1.024	102.40%
7	100	106.794	1.004	0	0	12.199	12.547	12.558	12.435	0	106.794	1	1.004	100.40%
8	100	110.638	1.018	0	0	14.524	18.213	19.083	17.273	0	110.638	1	1.018	101.80%
9	100	103.252	1.029	0	0	20.936	21.594	21.696	21.409	0	103.252	1	1.029	102.90%
10	100	197.559	0.9	0	0	21.628	20.779	20.823	21.077	0	197.559	1	0.9	90.00%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	101.381	1.027	0	0	9.286	9.286	9.286	9.286	0	101.381	1	1.027	102.70%
2	100	100.973	1.025	0	0	9.286	9.286	9.286	9.286	0	100.973	1	1.025	102.50%
3	100	101.444	1.006	0	0	9.286	9.286	9.286	9.286	0	101.444	1	1.006	100.60%
4	100	103.973	1.019	0	0	9.286	9.286	9.286	9.286	0	103.973	1	1.019	101.90%
5	100	114.663	0.998	0	0	9.286	9.286	10.445	9.672	0	114.663	1	0.998	99.80%
6	100	105.057	1.032	0	0	11.289	11.308	11.668	11.422	0	105.057	1	1.032	103.20%
7	100	109.264	1.025	0	0	13.056	13.545	13.545	13.382	0	109.264	1	1.025	102.50%
8	100	109.32	1.047	0	0	14.374	18.82	20.182	17.792	0	109.32	1	1.047	104.70%
9	100	103.037	1.017	0	0	21.707	22.064	21.961	21.911	0	103.037	1	1.017	101.70%
10	100	123.818	0.88	0	0	21.234	17.47	19.852	19.519	0	123.818	1	0.88	88.00%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	100.453	1.009	0	0	7.072	7.072	7.072	7.072	0	100.453	1	1.009	100.90%
2	100	99.921	1.006	0	0	7.072	7.072	7.072	7.072	0	99.921	1	1.006	100.60%
3	100	101.79	1.018	0	0	7.072	7.079	7.071	7.074	0	101.79	1	1.018	101.80%
4	100	108.912	1.018	0	0	7.071	7.117	7.165	7.118	0	108.912	1	1.018	101.80%
5	100	111.623	1.025	0	0	7.165	7.165	7.65	7.327	0	111.623	1	1.025	102.50%
6	100	105.083	0.99	0	0	7.967	8.662	8.662	8.43	0	105.083	1	0.99	99.00%
7	100	107.092	1.042	0	0	10.912	12.568	12.773	12.084	0	107.092	1	1.042	104.20%
8	100	105.277	1.021	0	0	15.126	19.971	21.403	18.833	0	105.277	1	1.021	102.10%
9	100	102.493	1.04	0	0	22.254	22.238	21.926	22.139	0	102.493	1	1.04	104.00%
10	100	122.075	0.913	0	0	20.639	17.092	18.718	18.816	0	122.075	1	0.913	91.30%

Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	99.879	1.007	0	0	5.617	5.617	5.617	5.617	0	99.879	1	1.007	100.70%
2	100	101.919	1.007	0	0	5.617	5.617	5.617	5.617	0	101.919	1	1.007	100.70%
3	100	104.676	1.027	0	0	5.641	5.991	5.991	5.874	0	104.676	1	1.027	102.70%
4	100	107.353	1.035	0	0	6.278	6.319	6.325	6.307	0	107.353	1	1.035	103.50%
5	100	111.2	1.036	0	0	6.413	6.413	6.602	6.476	0	111.2	1	1.036	103.60%
6	100	105.643	1.012	0	0	6.784	7.446	7.62	7.283	0	105.643	1	1.012	101.20%
7	100	135.054	0.894	0	0	11.046	13.452	13.579	12.692	0	135.054	1	0.894	89.40%
8	100	108.902	1.013	0	0	13.981	18.716	20.247	17.648	0	108.902	1	1.013	101.30%
9	100	104.862	1.019	0	0	22.342	21.996	21.752	22.03	0	104.862	1	1.019	101.90%
10	100	147.512	0.825	0	0	21.228	19.511	20.771	20.503	0	147.512	1	0.825	82.50%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	101.08	1.008	0	0	9.434	9.434	9.434	9.434	0	101.08	1	1.008	100.80%
2	100	100.754	1.026	0	0	9.434	9.434	9.434	9.434	0	100.754	1	1.026	102.60%
3	100	101.352	1.023	0	0	9.434	9.434	9.434	9.434	0	101.352	1	1.023	102.30%
4	100	102.492	1.034	0	0	9.434	9.434	9.774	9.547	0	102.492	1	1.034	103.40%
5	100	117.021	1.006	0	0	10.058	10.061	11.046	10.388	0	117.021	1	1.006	100.60%
6	100	106.855	1.023	0	0	12.181	12.574	12.586	12.447	0	106.855	1	1.023	102.30%
7	100	107.32	1.052	0	0	13.386	13.662	13.609	13.552	0	107.32	1	1.052	105.20%
8	100	111.542	1.031	0	0	14.923	18.158	19.045	17.375	0	111.542	1	1.031	103.10%
9	100	173.274	0.92	0	0	21.059	21.969	21.704	21.577	0	173.274	1	0.92	92.00%
10	100	174.884	0.831	0	0	20.132	21.274	20.493	20.633	0	174.884	1	0.831	83.10%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	99.944	1.015	0	0	5.704	5.704	5.704	5.704	0	99.944	1	1.015	101.50%
2	100	101.641	1.014	0	0	5.704	5.704	5.704	5.704	0	101.641	1	1.014	101.40%
3	100	103.424	1.008	0	0	5.704	5.704	5.704	5.704	0	103.424	1	1.008	100.80%
4	100	104.081	1.006	0	0	6.252	6.563	6.576	6.464	0	104.081	1	1.006	100.60%
5	100	111.642	1.025	0	0	6.576	6.576	6.849	6.667	0	111.642	1	1.025	102.50%
6	100	117.678	1.044	0	0	7.318	8.144	10.818	8.76	0	117.678	1	1.044	104.40%
7	100	107.646	1.034	0	0	12.171	12.619	12.765	12.518	0	107.646	1	1.034	103.40%
8	100	109.058	1.042	0	0	14.893	18.422	19.318	17.544	0	109.058	1	1.042	104.20%
9	100	158.699	1.028	0	0	20.94	20.054	20.278	20.424	0	158.699	1	1.028	102.80%
10	100	107.54	1.038	0	0	18.656	20.566	18.196	19.139	0	107.54	1	1.038	103.80%

Iteration  9	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	99.825	1.009	0	0	5.713	5.713	5.713	5.713	0	99.825	1	1.009	100.90%
2	100	101.842	1.011	0	0	5.713	5.713	5.713	5.713	0	101.842	1	1.011	101.10%
3	100	101.756	1.008	0	0	5.716	5.76	5.76	5.745	0	101.756	1	1.008	100.80%
4	100	105.416	1.028	0	0	6.144	6.266	6.344	6.251	0	105.416	1	1.028	102.80%
5	100	112.961	1.013	0	0	6.359	6.359	7.062	6.593	0	112.961	1	1.013	101.30%
6	100	104.677	1.042	0	0	7.467	8.265	8.4	8.044	0	104.677	1	1.042	104.20%
7	100	107.62	1.044	0	0	10.908	12.643	12.891	12.147	0	107.62	1	1.044	104.40%
8	100	107.369	1.055	0	0	15.198	19.894	20.767	18.62	0	107.369	1	1.055	105.50%
9	100	103.628	1.045	0	0	22.139	21.841	21.451	21.81	0	103.628	1	1.045	104.50%
10	100	169.2	0.835	0	0	21.919	22.322	19.029	21.09	0	169.2	1	0.835	83.50%

Iteration  10	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	100.016	1.016	0	0	5.617	5.617	5.617	5.617	0	100.016	1	1.016	101.60%
2	100	101.895	1.015	0	0	5.617	5.617	5.617	5.617	0	101.895	1	1.015	101.50%
3	100	101.604	0.996	0	0	5.617	5.617	5.617	5.617	0	101.604	1	0.996	99.60%
4	100	104.94	1.017	0	0	5.994	6.111	6.111	6.072	0	104.94	1	1.017	101.70%
5	100	112.151	1.011	0	0	6.111	6.181	6.691	6.328	0	112.151	1	1.011	101.10%
6	100	104.888	1.032	0	0	6.994	7.891	7.891	7.592	0	104.888	1	1.032	103.20%
7	100	107.275	1.004	0	0	10.79	12.611	12.966	12.122	0	107.275	1	1.004	100.40%
8	100	105.508	1.025	0	0	15.499	20.009	21.133	18.88	0	105.508	1	1.025	102.50%
9	100	102.554	1.037	0	0	22.056	21.673	21.637	21.789	0	102.554	1	1.037	103.70%
10	100	111.763	1.049	0	0	20.948	17.973	19.379	19.433	0	111.763	1	1.049	104.90%
