Pillars			
	Target Speed	9	m/s
	Penalty Time	5	sec
	Collision penalty	45	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.101	9.057	0	0	7.64	7.642	7.642	7.641	0	11.101	1	9.057	100.63%
2	100	11.505	8.783	0	0	7.642	7.642	7.642	7.642	0	11.505	1	8.783	97.59%
3	100	12.749	8.27	0	0	7.657	7.999	8.012	7.889	0	12.749	1	8.27	91.89%
4	100	14.981	7.406	0	0	9.42	11.069	11.709	10.733	0	14.981	1	7.406	82.29%
5	100	14.616	7.675	1	0	13.805	14.686	14.871	14.454	45	59.616	0	0	85.28%
6	100	20.397	6.053	0	0	15.16	17.393	17.517	16.69	0	20.397	1	6.053	67.26%
7	100	16.186	7.283	0	0	17.426	17.916	19.034	18.125	0	16.186	1	7.283	80.92%
8	100	15.396	7.394	0	0	19.392	21.413	21.933	20.913	0	15.396	1	7.394	82.16%
9	100	29.219	5.488	0	0	21.777	23.21	24.33	23.106	0	29.219	1	5.488	60.98%
10	100	26.422	4.959	0	0	21.474	19.714	21.478	20.889	0	26.422	1	4.959	55.10%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.222	9.071	0	0	7.342	7.342	7.342	7.342	0	11.222	1	9.071	100.79%
2	100	12.926	8.236	0	0	7.342	7.551	7.761	7.551	0	12.926	1	8.236	91.51%
3	100	12.923	7.977	0	0	7.765	7.857	7.881	7.834	0	12.923	1	7.977	88.63%
4	100	15.048	7.029	0	0	9.305	9.68	10.596	9.86	0	15.048	1	7.029	78.10%
5	100	20.796	5.949	0	0	11.841	13.224	15.109	13.391	0	20.796	1	5.949	66.10%
6	100	14.693	7.405	0	0	15.673	16.907	16.979	16.52	0	14.693	1	7.405	82.28%
7	100	15.333	7.324	0	0	16.823	16.84	17.545	17.069	0	15.333	1	7.324	81.38%
8	100	16.163	6.975	0	0	19.007	20.603	20.632	20.081	0	16.163	1	6.975	77.50%
9	100	15.638	6.819	0	0	21.841	22.911	21.812	22.188	0	15.638	1	6.819	75.77%
10	100	20.786	5.584	0	0	21.805	23.052	20.551	21.803	0	20.786	1	5.584	62.04%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.109	9.012	0	0	7.458	7.459	7.459	7.459	0	11.109	1	9.012	100.13%
2	100	12.326	8.318	0	0	7.719	7.921	7.921	7.854	0	12.326	1	8.318	92.42%
3	100	13.392	7.965	0	0	7.921	8.043	8.289	8.084	0	13.392	1	7.965	88.50%
4	100	15.26	6.981	0	0	8.682	8.88	9.268	8.943	0	15.26	1	6.981	77.57%
5	100	13.515	8.025	0	0	9.548	9.785	11.173	10.169	0	13.515	1	8.025	89.17%
6	100	16.89	6.689	0	0	12.523	15.533	19.176	15.744	0	16.89	1	6.689	74.32%
7	100	15.089	7.082	0	0	19.616	19.75	19.938	19.768	0	15.089	1	7.082	78.69%
8	100	15.904	7.067	0	0	20.081	21.244	20.832	20.719	0	15.904	1	7.067	78.52%
9	100	25.219	5.652	0	0	21.573	20.012	19.312	20.299	0	25.219	1	5.652	62.80%
10	100	15.272	6.982	0	0	20.946	21.633	19.216	20.598	0	15.272	1	6.982	77.58%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.131	9.028	0	0	7.574	7.578	7.578	7.577	0	11.131	1	9.028	100.31%
2	100	12.208	8.35	0	0	7.72	7.812	7.813	7.782	0	12.208	1	8.35	92.78%
3	100	12.59	8.263	0	0	7.813	7.91	8	7.908	0	12.59	1	8.263	91.81%
4	100	15.14	7.081	0	0	8.84	9.091	9.32	9.084	0	15.14	1	7.081	78.68%
5	100	13.346	8.092	0	0	9.671	10.066	11.092	10.276	0	13.346	1	8.092	89.91%
6	100	17.831	6.506	0	0	13.634	15.331	18.42	15.795	0	17.831	1	6.506	72.29%
7	100	14.213	7.315	0	0	20.935	22.08	21.993	21.669	0	14.213	1	7.315	81.28%
8	100	17.238	6.529	0	0	22.216	22.175	22.172	22.188	0	17.238	1	6.529	72.54%
9	100	20.146	5.781	0	0	22.593	22.841	22.221	22.552	0	20.146	1	5.781	64.23%
10	100	26.644	5.911	0	0	22.256	21.537	21.533	21.775	0	26.644	1	5.911	65.68%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.126	9.064	0	0	5.837	5.839	5.839	5.838	0	11.126	1	9.064	100.71%
2	100	11.606	8.777	0	0	5.839	6.127	6.214	6.06	0	11.606	1	8.777	97.52%
3	100	12.293	8.365	0	0	6.288	6.575	6.683	6.515	0	12.293	1	8.365	92.94%
4	100	12.64	8.257	0	0	6.683	6.761	8.219	7.221	0	12.64	1	8.257	91.74%
5	100	15.396	7.218	0	0	9.369	9.755	10.751	9.958	0	15.396	1	7.218	80.20%
6	100	16.37	6.934	0	0	13.105	16.338	19.825	16.423	0	16.37	1	6.934	77.04%
7	100	14.414	7.427	0	0	21.178	21.63	21.509	21.439	0	14.414	1	7.427	82.52%
8	100	15.188	7.137	0	0	21.643	21.825	21.204	21.557	0	15.188	1	7.137	79.30%
9	100	30.252	5.443	0	0	21.753	19.352	21.78	20.962	0	30.252	1	5.443	60.48%
10	100	14.934	7.068	0	0	22.555	21.015	19.466	21.012	0	14.934	1	7.068	78.53%

Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.228	9.013	0	0	9.732	9.742	9.743	9.739	0	11.228	1	9.013	100.14%
2	100	11.855	8.638	0	0	9.743	9.743	9.743	9.743	0	11.855	1	8.638	95.98%
3	100	12.875	7.962	0	0	9.687	9.715	9.743	9.715	0	12.875	1	7.962	88.47%
4	100	13.183	7.967	0	0	9.743	9.743	10.139	9.875	0	13.183	1	7.967	88.52%
5	100	14.667	7.392	0	0	10.14	10.346	12.148	10.878	0	14.667	1	7.392	82.13%
6	100	17.032	6.652	0	0	12.28	15.549	18.822	15.55	0	17.032	1	6.652	73.91%
7	100	15.464	6.849	0	1	19.194	19.229	20.324	19.582	0	15.464	0	6.849	76.10%
8	100	15.982	6.862	0	0	21.399	20.831	21.199	21.143	0	15.982	1	6.862	76.24%
9	100	16.631	6.635	1	2	21.88	21.674	22.526	22.027	45	61.631	0	0	73.72%
10	100	26.133	4.832	0	0	21.924	22.113	22.039	22.025	0	26.133	1	4.832	53.69%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.12	9.002	0	0	7.436	7.437	7.437	7.437	0	11.12	1	9.002	100.02%
2	100	12.274	8.366	0	0	7.885	8.139	8.141	8.055	0	12.274	1	8.366	92.96%
3	100	11.881	8.65	0	0	8.141	8.141	8.141	8.141	0	11.881	1	8.65	96.11%
4	100	14.512	7.345	0	0	8.375	8.606	8.48	8.487	0	14.512	1	7.345	81.61%
5	100	18.849	6.958	0	0	10.623	11.943	14.044	12.203	0	18.849	1	6.958	77.31%
6	100	14.437	7.381	1	0	15.015	15.74	15.766	15.507	45	59.437	0	0	82.01%
7	100	15.808	7.141	0	0	15.963	16.572	18.534	17.023	0	15.808	1	7.141	79.34%
8	100	17.059	6.824	0	0	20.093	21.783	21.52	21.132	0	17.059	1	6.824	75.82%
9	100	20.189	5.552	0	0	22.057	21.569	22.238	21.955	0	20.189	1	5.552	61.69%
10	100	25.023	4.78	0	0	22.421	21.56	22.286	22.089	0	25.023	1	4.78	53.11%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.096	9.08	0	0	7.76	7.76	7.76	7.76	0	11.096	1	9.08	100.89%
2	100	11.714	8.667	0	0	7.76	7.76	7.76	7.76	0	11.714	1	8.667	96.30%
3	100	12.675	8.138	0	0	7.76	7.872	7.9	7.844	0	12.675	1	8.138	90.42%
4	100	13.059	8.111	0	0	7.901	7.828	7.714	7.814	0	13.059	1	8.111	90.12%
5	100	14.449	7.369	0	0	8.163	8.368	9.837	8.789	0	14.449	1	7.369	81.88%
6	100	27.596	4.633	0	0	11.597	14.417	19.633	15.216	0	27.596	1	4.633	51.48%
7	100	13.225	7.808	0	0	21.107	21.712	22.135	21.651	0	13.225	1	7.808	86.76%
8	100	15.109	7.011	0	0	22.228	21.765	21.333	21.775	0	15.109	1	7.011	77.90%
9	100	20.911	5.331	0	1	22.479	22.449	21.666	22.198	0	20.911	0	5.331	59.23%
10	100	20.757	5.674	0	1	21.728	20.383	19.156	20.422	0	20.757	0	5.674	63.04%

Iteration  9	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.152	9.037	0	0	7.458	7.459	7.459	7.459	0	11.152	1	9.037	100.41%
2	100	11.776	8.712	0	0	7.573	7.599	7.635	7.602	0	11.776	1	8.712	96.80%
3	100	13.579	7.713	0	0	9.013	9.263	9.264	9.18	0	13.579	1	7.713	85.70%
4	100	20.154	5.357	0	0	9.979	10.706	11.305	10.663	0	20.154	1	5.357	59.52%
5	100	13.841	7.593	0	0	12.344	13.03	13.096	12.823	0	13.841	1	7.593	84.37%
6	100	14.209	7.627	0	0	13.333	15.546	15.496	14.792	0	14.209	1	7.627	84.74%
7	100	14.563	7.702	0	0	16.2	16.869	17.784	16.951	0	14.563	1	7.702	85.58%
8	100	16.804	6.861	0	1	19.037	20.564	21.269	20.29	0	16.804	0	6.861	76.23%
9	100	32.082	5.157	0	0	22.184	22.33	21.04	21.851	0	32.082	1	5.157	57.30%
10	100	21.866	5.405	0	0	20.952	22.314	19.12	20.795	0	21.866	1	5.405	60.06%

Iteration  10	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.14	9.077	0	0	7.402	7.402	7.402	7.402	0	11.14	1	9.077	100.86%
2	100	11.654	8.76	0	0	7.541	7.682	7.684	7.636	0	11.654	1	8.76	97.33%
3	100	13.87	7.711	0	0	7.684	7.836	8.101	7.874	0	13.87	1	7.711	85.68%
4	100	15.175	7.039	0	0	8.839	9.101	10.192	9.377	0	15.175	1	7.039	78.21%
5	100	13.357	8.274	0	0	10.409	10.449	10.93	10.596	0	13.357	1	8.274	91.93%
6	100	21.142	6.616	0	0	13.144	14.895	15.348	14.462	0	21.142	1	6.616	73.51%
7	100	15.687	7.258	0	0	16.066	16.688	17.198	16.651	0	15.687	1	7.258	80.64%
8	100	15.887	7.146	0	0	18.626	20.532	20.602	19.92	0	15.887	1	7.146	79.40%
9	100	20.265	5.762	0	0	21.349	21.108	22.785	21.747	0	20.265	1	5.762	64.02%
10	100	25.082	4.992	0	0	22.035	20.215	20.988	21.079	0	25.082	1	4.992	55.47%
