Pillars			
	Target Speed	8	m/s
	Penalty Time	5	sec
	Collision penalty	40	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.489	8.118	0	0	3.708	3.71	3.71	3.709	0	12.489	1	8.118	101.48%
2	100	12.892	7.887	0	0	3.71	3.91	3.994	3.871	0	12.892	1	7.887	98.59%
3	100	13.823	7.452	0	0	4.155	4.321	4.406	4.294	0	13.823	1	7.452	93.15%
4	100	14.391	7.387	0	0	4.645	4.716	4.923	4.761	0	14.391	1	7.387	92.34%
5	100	14.991	7.144	0	0	5.014	5.311	7.28	5.868	0	14.991	1	7.144	89.30%
6	100	16.713	7.244	0	0	10.308	11.185	11.45	10.981	0	16.713	1	7.244	90.55%
7	100	17.375	6.695	0	0	11.98	11.748	12.348	12.025	0	17.375	1	6.695	83.69%
8	100	16.014	6.998	0	0	14.057	18.263	19.009	17.110	0	16.014	1	6.998	87.48%
9	100	27.717	4.9	0	0	19.922	20.266	21.142	20.443	0	27.717	1	4.9	61.25%
10	100	27.17	4.733	0	0	19.538	19.008	18.422	18.989	0	27.17	1	4.733	59.16%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.476	8.04	0	0	3.998	3.999	3.999	3.999	0	12.476	1	8.04	100.50%
2	100	13.09	7.826	0	0	3.999	4.075	4.093	4.056	0	13.09	1	7.826	97.83%
3	100	14.137	7.415	0	0	4.099	4.483	4.526	4.369	0	14.137	1	7.415	92.69%
4	100	20.266	5.766	0	0	6.934	8.701	10.404	8.680	0	20.266	1	5.766	72.08%
5	100	16.459	6.578	0	0	10.411	10.507	12.601	11.173	0	16.459	1	6.578	82.23%
6	100	21.146	6.078	0	0	12.69	12.674	13.271	12.878	0	21.146	1	6.078	75.98%
7	100	16.126	6.919	0	0	13.271	13.585	14.704	13.853	0	16.126	1	6.919	86.49%
8	100	16.483	6.832	0	0	16.059	19.249	19.03	18.113	0	16.483	1	6.832	85.40%
9	100	28.198	4.831	0	0	20.249	19.87	20.279	20.133	0	28.198	1	4.831	60.39%
10	100	20.391	5.623	0	0	20.047	21.682	18.695	20.141	0	20.391	1	5.623	70.29%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.552	8.062	0	0	3.905	3.906	3.906	3.906	0	12.552	1	8.062	100.78%
2	100	12.962	7.833	0	0	3.996	4.185	4.187	4.123	0	12.962	1	7.833	97.91%
3	100	13.575	7.623	0	0	4.228	4.406	4.489	4.374	0	13.575	1	7.623	95.29%
4	100	14.009	7.5	0	0	4.606	4.61	6.138	5.118	0	14.009	1	7.5	93.75%
5	100	16.082	7.002	0	0	7.334	7.725	8.704	7.921	0	16.082	1	7.002	87.53%
6	100	17.818	6.368	0	0	10.53	12.701	15.73	12.987	0	17.818	1	6.368	79.60%
7	100	16.27	6.916	0	0	16.425	16.72	18.894	17.346	0	16.27	1	6.916	86.45%
8	100	16.94	6.678	0	0	20.259	20.31	20.081	20.217	0	16.94	1	6.678	83.48%
9	100	31.235	3.653	0	0	20.315	21.165	20.306	20.595	0	31.235	1	3.653	45.66%
10	100	15.76	6.867	0	0	18.891	19.215	16.559	18.222	0	15.76	1	6.867	85.84%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.589	8.036	0	0	5.405	5.405	5.405	5.405	0	12.589	1	8.036	100.45%
2	100	12.96	7.867	0	0	5.405	5.405	5.405	5.405	0	12.96	1	7.867	98.34%
3	100	13.546	7.615	0	0	5.405	5.405	5.422	5.411	0	13.546	1	7.615	95.19%
4	100	14.198	7.468	0	0	5.542	5.503	5.489	5.511	0	14.198	1	7.468	93.35%
5	100	15.213	7.203	0	0	5.636	6.063	8.501	6.733	0	15.213	1	7.203	90.04%
6	100	18.409	6.311	0	0	10.506	13.58	16.192	13.426	0	18.409	1	6.311	78.89%
7	100	16.267	6.938	0	0	17.224	17.323	18.663	17.737	0	16.267	1	6.938	86.73%
8	100	16.642	6.813	0	0	19.211	19.171	18.872	19.085	0	16.642	1	6.813	85.16%
9	100	17.744	6.014	1	0	19.929	20.42	19.683	20.011	40	57.744	0	0	75.18%
10	100	20.435	5.458	0	0	18.71	16.297	18.014	17.674	0	20.435	1	5.458	68.23%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.521	8.033	0	0	5.622	5.623	5.623	5.623	0	12.521	1	8.033	100.41%
2	100	13.399	7.645	0	0	5.867	5.993	5.996	5.952	0	13.399	1	7.645	95.56%
3	100	13.873	7.443	0	0	6.085	6.121	6.194	6.133	0	13.873	1	7.443	93.04%
4	100	15.182	6.994	0	0	7.293	7.909	8.381	7.861	0	15.182	1	6.994	87.43%
5	100	16.127	7.176	0	0	9.211	9.27	10.503	9.661	0	16.127	1	7.176	89.70%
6	100	20.117	6.38	0	0	11.658	13.428	15.109	13.398	0	20.117	1	6.38	79.75%
7	100	15.784	6.643	1	0	15.803	16.123	16.476	16.134	40	55.784	0	0	83.04%
8	100	15.731	6.939	0	0	17.293	19.129	19.077	18.500	0	15.731	1	6.939	86.74%
9	100	29.925	3.718	0	1	20.025	19.81	19.896	19.910	0	29.925	0	3.718	46.48%
10	100	21.433	5.529	0	0	18.819	15.468	18.11	17.466	0	21.433	1	5.529	69.11%

Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.619	8.026	0	0	7.07	7.075	7.075	7.073	0	12.619	1	8.026	100.33%
2	100	12.556	8.031	0	0	7.075	7.075	7.075	7.075	0	12.556	1	8.031	100.39%
3	100	13.496	7.563	0	0	7.075	7.075	7.075	7.075	0	13.496	1	7.563	94.54%
4	100	13.92	7.421	0	0	7.075	7.054	7.322	7.150	0	13.92	1	7.421	92.76%
5	100	16.424	7.171	0	0	8.175	8.816	9.369	8.787	0	16.424	1	7.171	89.64%
6	100	15.174	7.12	0	0	10.383	12.818	13.064	12.088	0	15.174	1	7.12	89.00%
7	100	16.124	6.997	0	0	13.307	13.595	14.29	13.731	0	16.124	1	6.997	87.46%
8	100	16.905	6.75	0	0	16.322	19.457	20.325	18.701	0	16.905	1	6.75	84.38%
9	100	23.222	5.137	0	0	19.762	19.247	19.692	19.567	0	23.222	1	5.137	64.21%
10	100	16.34	6.726	0	0	19.09	19.42	19.163	19.224	0	16.34	1	6.726	84.08%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.451	8.039	0	0	4.372	4.374	4.374	4.373	0	12.451	1	8.039	100.49%
2	100	13.111	7.81	0	0	4.374	4.374	4.374	4.374	0	13.111	1	7.81	97.63%
3	100	13.698	7.555	0	0	4.473	4.787	4.913	4.724	0	13.698	1	7.555	94.44%
4	100	16.742	6.913	0	0	7.164	8.275	8.461	7.967	0	16.742	1	6.913	86.41%
5	100	16.225	7.033	0	0	8.525	8.764	10.013	9.101	0	16.225	1	7.033	87.91%
6	100	23.339	5.425	0	0	11.014	11.55	12.965	11.843	0	23.339	1	5.425	67.81%
7	100	16.689	6.714	0	0	15.592	16.015	16.26	15.956	0	16.689	1	6.714	83.93%
8	100	16.419	6.938	0	0	16.947	18.838	19.092	18.292	0	16.419	1	6.938	86.73%
9	100	22.134	5.328	0	0	19.803	20.298	21.363	20.488	0	22.134	1	5.328	66.60%
10	100	20.437	5.709	0	0	20.225	16.966	18.473	18.555	0	20.437	1	5.709	71.36%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.526	8.068	0	0	4.042	4.044	4.044	4.043	0	12.526	1	8.068	100.85%
2	100	12.87	7.855	0	0	4.116	4.276	4.278	4.223	0	12.87	1	7.855	98.19%
3	100	13.562	7.56	0	0	4.308	4.517	4.699	4.508	0	13.562	1	7.56	94.50%
4	100	14.283	7.407	0	0	4.932	4.935	4.938	4.935	0	14.283	1	7.407	92.59%
5	100	15.293	7.11	0	0	5.043	5.317	6.956	5.772	0	15.293	1	7.11	88.88%
6	100	17.282	7.103	0	0	10.57	12.493	12.954	12.006	0	17.282	1	7.103	88.79%
7	100	16.332	6.8	0	0	13.596	14.083	15.772	14.484	0	16.332	1	6.8	85.00%
8	100	16.205	6.952	0	0	17.872	18.875	18.996	18.581	0	16.205	1	6.952	86.90%
9	100	26.214	5.555	1	0	19.289	17.618	19.443	18.783	40	66.214	0	0	69.44%
10	100	23.441	5.894	0	0	19.155	17.728	17.05	17.978	0	23.441	1	5.894	73.68%

