Pillars			
	Target Speed	3	m/s
	Penalty Time	5	sec
	Collision penalty	15	sec

Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	33.734	3.036	0	0	7.742	7.742	7.742	7.742	0	33.734	1	3.036	101.20%
2	100	33.612	3.03	0	0	7.742	7.742	7.742	7.742	0	33.612	1	3.03	101.00%
3	100	33.711	3.021	0	0	7.742	7.742	7.742	7.742	0	33.711	1	3.021	100.70%
4	100	34.646	3.034	0	0	7.742	7.742	7.742	7.742	0	34.646	1	3.034	101.13%
5	100	34.473	3.031	0	0	7.742	7.742	7.703	7.729	0	34.473	1	3.031	101.03%
6	100	36.545	3.055	0	0	7.664	7.871	8.676	8.070	0	36.545	1	3.055	101.83%
7	100	36.36	3.035	0	0	10.352	10.959	10.983	10.765	0	36.36	1	3.035	101.17%
8	100	35.576	3.064	0	0	13.384	18.003	19.144	16.844	0	35.576	1	3.064	102.13%
9	100	86.337	2.123	1	0	20.302	19.581	18.801	19.561	15	101.337	0	0	70.77%
10	100	58.138	2.395	0	1	18.227	18.681	17.85	18.253	0	58.138	0	2.395	79.83%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	33.329	3.019	0	0	5.217	5.217	5.217	5.217	0	33.329	1	3.019	100.63%
2	100	33.285	3.024	0	0	5.217	5.217	5.217	5.217	0	33.285	1	3.024	100.80%
3	100	34.438	3.02	0	0	5.217	5.343	5.53	5.363	0	34.438	1	3.02	100.67%
4	100	35.284	3.034	0	0	6.173	6.319	6.319	6.270	0	35.284	1	3.034	101.13%
5	100	37.205	3.044	0	0	6.319	6.319	6.883	6.507	0	37.205	1	3.044	101.47%
6	100	35.382	3.029	0	0	7.195	7.74	7.826	7.587	0	35.382	1	3.029	100.97%
7	100	36.055	3.034	0	0	9.517	10.711	11.008	10.412	0	36.055	1	3.034	101.13%
8	100	36.59	3.075	0	0	13.697	18.228	19.046	16.990	0	36.59	1	3.075	102.50%
9	100	34.257	3.097	0	0	20.272	20.423	20.051	20.249	0	34.257	1	3.097	103.23%
10	100	42.461	2.643	0	0	18.959	15.741	17.757	17.486	0	42.461	1	2.643	88.10%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	33.217	3.023	0	0	5.217	5.217	5.217	5.217	0	33.217	1	3.023	100.77%
2	100	33.45	3.034	0	0	5.217	5.217	5.217	5.217	0	33.45	1	3.034	101.13%
