Pillars			
	Target Speed	4	m/s
	Penalty Time	5	sec
	Collision penalty	20	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	25.052	4.034	0	0	3.877	3.877	3.877	3.877	0	25.052	1	4.034	100.85%
2	100	25.041	4.017	0	0	3.877	3.877	3.877	3.877	0	25.041	1	4.017	100.43%
3	100	25.429	4.024	0	0	3.877	3.877	3.877	3.877	0	25.429	1	4.024	100.60%
4	100	26.238	4.036	0	0	3.877	3.877	3.877	3.877	0	26.238	1	4.036	100.90%
5	100	28.426	3.984	0	0	4.055	4.129	4.795	4.326	0	28.426	1	3.984	99.60%
6	100	38.423	3.263	0	0	5.32	5.391	5.663	5.458	0	38.423	1	3.263	81.58%
7	100	27.594	4.02	0	0	8.872	10.525	11.173	10.190	0	27.594	1	4.02	100.50%
8	100	29.672	3.848	0	0	11.299	13.509	16.056	13.621	0	29.672	1	3.848	96.20%
9	100	74.634	1.819	1	0	19.929	19.32	19.395	19.548	20	94.634	0	0	45.48%
10	100	37.946	3.407	0	0	19.668	20.721	17.543	19.311	0	37.946	1	3.407	85.18%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	24.929	4.021	0	0	3.874	3.874	3.874	3.874	0	24.929	1	4.021	100.53%
2	100	25.612	4.045	0	0	3.874	3.874	3.874	3.874	0	25.612	1	4.045	101.13%
3	100	26.088	4.023	0	0	3.936	4.062	4.062	4.020	0	26.088	1	4.023	100.58%
4	100	28.597	4.034	0	0	6.342	7.479	7.558	7.126	0	28.597	1	4.034	100.85%
5	100	28.153	4.026	0	0	7.558	7.558	8.021	7.712	0	28.153	1	4.026	100.65%
6	100	26.689	4.021	0	0	8.149	8.422	8.424	8.332	0	26.689	1	4.021	100.53%
7	100	27.261	4.023	0	0	9.825	10.582	10.726	10.378	0	27.261	1	4.023	100.58%
8	100	27.731	4.086	0	0	13.509	18.242	19.125	16.959	0	27.731	1	4.086	102.15%
9	100	25.886	4.102	0	0	20.208	20.344	19.646	20.066	0	25.886	1	4.102	102.55%
10	100	33.459	3.359	0	0	18.874	14.794	16.553	16.740	0	33.459	1	3.359	83.98%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	25.347	4.034	0	0	7.706	7.707	7.707	7.707	0	25.347	1	4.034	100.85%
2	100	25.207	4.031	0	0	7.707	7.707	7.707	7.707	0	25.207	1	4.031	100.78%
3	100	25.39	4.036	0	0	7.707	7.707	7.707	7.707	0	25.39	1	4.036	100.90%
4	100	25.776	4.024	0	0	7.707	7.707	7.991	7.802	0	25.776	1	4.024	100.60%
5	100	28.557	4.03	0	0	8.09	8.09	8.402	8.194	0	28.557	1	4.03	100.75%
6	100	26.935	3.997	0	0	9.888	11.001	11.02	10.636	0	26.935	1	3.997	99.93%
7	100	28.1	4.036	0	0	11.02	11.015	11.332	11.122	0	28.1	1	4.036	100.90%
8	100	26.847	4.084	0	0	13.925	18.312	19.183	17.140	0	26.847	1	4.084	102.10%
9	100	26.287	4.045	0	0	19.916	19.805	19.394	19.705	0	26.287	1	4.045	101.13%
10	100	54.863	3.142	0	0	19.291	19.515	17.716	18.841	0	54.863	1	3.142	78.55%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	24.997	4.017	0	0	5.244	5.244	5.244	5.244	0	24.997	1	4.017	100.43%
2	100	25.086	4.035	0	0	5.244	5.244	5.244	5.244	0	25.086	1	4.035	100.88%
3	100	25.674	4.033	0	0	5.244	5.244	5.244	5.244	0	25.674	1	4.033	100.83%
4	100	26.663	4.037	0	0	5.899	6.08	6.08	6.020	0	26.663	1	4.037	100.93%
5	100	28.534	4.01	0	0	6.08	6.156	7.238	6.491	0	28.534	1	4.01	100.25%
6	100	26.618	4.015	0	0	7.574	8.206	8.21	7.997	0	26.618	1	4.015	100.38%
7	100	30.245	3.732	0	0	9.933	10.912	11.236	10.694	0	30.245	1	3.732	93.30%
8	100	28.282	4.039	0	0	11.867	17.188	18.504	15.853	0	28.282	1	4.039	100.98%
9	100	29.772	3.696	0	0	19.708	19.86	19.483	19.684	0	29.772	1	3.696	92.40%
10	100	38.622	4.026	0	0	19.278	19.548	17.331	18.719	0	38.622	1	4.026	100.65%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	25.266	4.009	0	0	7.392	7.392	7.392	7.392	0	25.266	1	4.009	100.23%
2	100	25.183	4.042	0	0	7.392	7.392	7.392	7.392	0	25.183	1	4.042	101.05%
3	100	25.342	4.022	0	0	7.392	7.392	7.392	7.392	0	25.342	1	4.022	100.55%
4	100	25.693	4.013	0	0	7.392	7.392	7.484	7.423	0	25.693	1	4.013	100.33%
5	100	28.758	3.97	0	0	7.993	8	8.474	8.156	0	28.758	1	3.97	99.25%
6	100	59.102	2.201	0	0	10.66	11.722	13.463	11.948	0	59.102	1	2.201	55.03%
7	100	47.051	2.35	1	2	17.103	18.899	19.302	18.435	20	67.051	0	0	58.75%
8	100	26.872	3.997	0	0	19.302	19.302	19.091	19.232	0	26.872	1	3.997	99.93%
9	100	68.434	1.876	0	1	19.678	20.42	20.825	20.308	0	68.434	0	1.876	46.90%
10	100	36.11	3.397	0	0	19.618	18.007	16.862	18.162	0	36.11	1	3.397	84.93%

