Pillars			
	Target Speed	6	m/s
	Penalty Time	5	sec
	Collision penalty	30	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.535	6.118	0	0	3.891	3.891	3.891	3.891	0	16.535	1	6.118	101.97%
2	100	17.233	6	0	0	3.891	4.006	4.078	3.992	0	17.233	1	6	100.00%
3	100	17.119	5.958	0	0	4.109	4.173	4.172	4.151	0	17.119	1	5.958	99.30%
4	100	17.376	6.041	0	0	4.172	4.172	6.1	4.815	0	17.376	1	6.041	100.68%
5	100	20.169	5.769	0	0	7.263	7.527	7.834	7.541	0	20.169	1	5.769	96.15%
6	100	18.647	5.822	0	0	8.288	9.234	9.699	9.074	0	18.647	1	5.822	97.03%
7	100	19.708	5.724	0	0	10.354	10.844	11.679	10.959	0	19.708	1	5.724	95.40%
8	100	19.451	5.838	0	0	14.441	18.378	19.198	17.339	0	19.451	1	5.838	97.30%
9	100	31.883	4.117	0	0	19.491	19.791	20.851	20.044	0	31.883	1	4.117	68.62%
10	100	24.109	4.704	0	0	19.495	18.691	16.927	18.371	0	24.109	1	4.704	78.40%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.573	6.062	0	0	5.455	5.455	5.455	5.455	0	16.573	1	6.062	101.03%
2	100	16.57	6.067	0	0	5.455	5.455	5.455	5.455	0	16.57	1	6.067	101.12%
3	100	17.302	5.945	0	0	5.455	5.279	5.246	5.327	0	17.302	1	5.945	99.08%
4	100	18.979	5.671	0	0	5.295	5.531	5.632	5.486	0	18.979	1	5.671	94.52%
5	100	19.302	5.702	0	0	5.945	6.455	6.462	6.287	0	19.302	1	5.702	95.03%
6	100	19.196	5.836	0	0	6.993	10.7	10.807	9.500	0	19.196	1	5.836	97.27%
7	100	21.932	5.19	0	0	11.155	11.121	12.905	11.727	0	21.932	1	5.19	86.50%
8	100	19.366	5.865	0	0	13.966	17.542	18.672	16.727	0	19.366	1	5.865	97.75%
9	100	18.67	5.675	0	0	19.687	19.949	19.883	19.840	0	18.67	1	5.675	94.58%
10	100	23.866	4.82	0	0	19.578	16.425	18.247	18.083	0	23.866	1	4.82	80.33%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.555	6.058	0	0	5.454	5.454	5.454	5.454	0	16.555	1	6.058	100.97%
2	100	16.884	5.999	0	0	5.513	5.548	5.548	5.536	0	16.884	1	5.999	99.98%
3	100	17.635	5.881	0	0	5.548	5.596	5.688	5.611	0	17.635	1	5.881	98.02%
4	100	18.4	5.799	0	0	6.263	6.43	6.43	6.374	0	18.4	1	5.799	96.65%
5	100	18.495	5.898	0	0	6.43	6.685	8.553	7.223	0	18.495	1	5.898	98.30%
6	100	19.813	5.655	0	0	10.34	14.016	17.925	14.094	0	19.813	1	5.655	94.25%
7	100	20.136	5.537	0	0	18.187	18.514	18.803	18.501	0	20.136	1	5.537	92.28%
8	100	19.167	5.689	0	1	19.559	19.792	19.457	19.603	0	19.167	0	5.689	94.82%
9	100	19.057	5.637	0	0	19.527	20.587	19.603	19.906	0	19.057	1	5.637	93.95%
10	100	31.887	4.218	0	0	19.236	19.737	17.951	18.975	0	31.887	1	4.218	70.30%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	16.535	6.061	0	0	4.752	4.752	4.752	4.752	0	16.535	1	6.061	101.02%
2	100	17.177	5.981	0	0	4.752	4.752	4.752	4.752	0	17.177	1	5.981	99.68%
3	100	17.738	5.866	0	0	4.752	4.924	4.939	4.872	0	17.738	1	5.866	97.77%
4	100	19.775	5.792	0	0	6.917	7.843	8.039	7.600	0	19.775	1	5.792	96.53%
5	100	19.982	5.74	0	0	8.361	8.414	8.739	8.505	0	19.982	1	5.74	95.67%
6	100	25.68	5.279	0	0	10.035	10.728	11.002	10.588	0	25.68	1	5.279	87.98%
7	100	19.851	5.699	0	0	11.138	11.564	12.06	11.587	0	19.851	1	5.699	94.98%
8	100	19.472	5.749	0	0	14.467	17.338	18.972	16.926	0	19.472	1	5.749	95.82%
9	100	24.966	4.639	0	0	20.003	20.184	20.487	20.225	0	24.966	1	4.639	77.32%
10	100	31.374	4.243	0	1	19.602	19.655	18.626	19.294	0	31.374	0	4.243	70.72%

