Trees			
	Target Speed	9	m/s
	Penalty Time	5	sec
	Collision penalty	45	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.12	9.04	0	0	7.423	7.423	7.423	7.423	0	11.12	1	9.04	100.44%
2	100	13.232	7.745	0	0	7.736	7.969	7.969	7.891	0	13.232	1	7.745	86.06%
3	100	13.454	7.73	0	0	7.95	7.12	7.039	7.37	0	13.454	1	7.73	85.89%
4	100	13.848	7.534	0	0	6.795	6.56	6.568	6.641	0	13.848	1	7.534	83.71%
5	100	15.298	6.874	0	0	6.08	5.803	5.415	5.766	0	15.298	1	6.874	76.38%
6	100	19.747	6.188	0	0	7.968	9.202	9.709	8.96	0	19.747	1	6.188	68.76%
7	100	60.239	2.33	1	1	10.907	10.934	7.548	9.796	45	105.239	0	0	25.89%
8	100	54.751	2.5	2	0	7.427	5.229	5.473	6.043	90	144.751	0	0	27.78%
9	100	82.092	2.02	1	2	4.461	3.996	5.389	4.615	45	127.092	0	0	22.44%
10	100	58.196	2.483	0	0	4.979	5.681	7.161	5.94	0	58.196	1	2.483	27.59%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.14	9.001	0	0	7.437	7.437	7.437	7.437	0	11.14	1	9.001	100.01%
2	100	12	8.424	0	0	7.793	7.998	8	7.93	0	12	1	8.424	93.60%
3	100	13.058	7.828	0	0	7.968	7.598	7.535	7.7	0	13.058	1	7.828	86.98%
4	100	13.77	7.562	0	0	7.468	6.757	6.746	6.99	0	13.77	1	7.562	84.02%
5	100	19.835	6.022	0	0	5.995	5.985	7.516	6.499	0	19.835	1	6.022	66.91%
6	100	18.976	5.874	0	0	7.89	7.203	7.204	7.432	0	18.976	1	5.874	65.27%
7	100	27.56	4.45	1	0	5.912	5.049	6.11	5.69	45	72.56	0	0	49.44%
8	100	21.214	5.549	1	0	6.795	4.713	4.642	5.383	45	66.214	0	0	61.66%
9	100	68.56	2.246	2	0	6.053	7.128	4.814	5.998	90	158.56	0	0	24.96%
10	100	20.805	5.131	0	0	3.847	4.041	4.084	3.991	0	20.805	1	5.131	57.01%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.108	9.03	0	0	7.334	7.334	7.334	7.334	0	11.108	1	9.03	100.33%
2	100	11.198	9.043	0	0	7.334	7.334	7.334	7.334	0	11.198	1	9.043	100.48%
3	100	11.219	9.01	0	0	7.334	7.334	7.334	7.334	0	11.219	1	9.01	100.11%
4	100	13.44	7.68	0	0	7.183	7.139	7.44	7.254	0	13.44	1	7.68	85.33%
5	100	17.309	6.425	0	0	7.712	9.487	8.518	8.572	0	17.309	1	6.425	71.39%
6	100	17.268	6.258	0	0	8.273	8.123	8.318	8.238	0	17.268	1	6.258	69.53%
7	100	28.007	4.531	0	0	8.942	6.844	7.614	7.8	0	28.007	1	4.531	50.34%
8	100	48.612	3.382	1	0	6.065	5.407	4.384	5.285	45	93.612	0	0	37.58%
9	100	60.08	2.373	1	1	6.682	8	6.55	7.077	45	105.08	0	0	26.37%
10	100	81.407	1.909	1	1	5.343	4.76	4.315	4.806	45	126.407	0	0	21.21%

Iteration  9	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.085	9.031	0	0	7.438	7.438	7.438	7.438	0	11.085	1	9.031	100.34%
2	100	14.12	7.397	0	0	7.453	7.559	7.55	7.521	0	14.12	1	7.397	82.19%
3	100	15.2	6.934	0	0	7.532	7.151	7.854	7.512	0	15.2	1	6.934	77.04%
4	100	13.181	7.827	0	0	8.078	7.643	7.635	7.785	0	13.181	1	7.827	86.97%
5	100	17.119	6.545	0	0	7.668	8.575	7.93	8.058	0	17.119	1	6.545	72.72%
6	100	16.424	6.367	0	0	6.74	4.885	4.786	5.47	0	16.424	1	6.367	70.74%
7	100	19.635	5.735	0	0	4.888	6.457	6.881	6.075	0	19.635	1	5.735	63.72%
8	100	51.501	2.595	1	1	5.592	5.194	4.362	5.049	45	96.501	0	0	28.83%
9	100	28.727	4.223	0	0	4.298	5.782	4.747	4.942	0	28.727	1	4.223	46.92%
10	100	41.734	2.948	0	0	4.361	5.221	3.911	4.498	0	41.734	1	2.948	32.76%

Iteration  10	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	11.151	9.003	0	0	7.642	7.643	7.643	7.643	0	11.151	1	9.003	100.03%
2	100	11.935	8.407	0	0	7.7	7.783	7.784	7.756	0	11.935	1	8.407	93.41%
3	100	13.956	7.349	0	0	7.958	7.405	7.189	7.517	0	13.956	1	7.349	81.66%
4	100	13.45	7.688	0	0	7.049	6.528	6.518	6.698	0	13.45	1	7.688	85.42%
5	100	13.195	7.818	0	0	6.08	5.544	5.504	5.709	0	13.195	1	7.818	86.87%
6	100	23.185	5.369	0	0	7.137	7.516	7.488	7.38	0	23.185	1	5.369	59.66%
7	100	23.97	5.098	0	0	8.955	7.824	7.718	8.166	0	23.97	1	5.098	56.64%
8	100	26.371	4.597	0	0	7.159	4.86	5.488	5.836	0	26.371	1	4.597	51.08%
9	100	29.097	4.295	1	0	6.945	7.799	8.227	7.657	45	74.097	0	0	47.72%
10	100	56.68	2.84	0	0	7.468	7.876	7.721	7.688	0	56.68	1	2.84	31.56%
