Trees			
	Target Speed	5	m/s
	Penalty Time	5	sec
	Collision penalty	25	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	20.35	5.15	0	0	3.983	3.983	3.983	3.983	0	20.35	1	5.15	103.00%
2	100	20.89	5.727	0	0	3.983	3.983	3.983	3.983	0	20.89	1	5.727	114.54%
3	100	21.632	5.622	0	0	3.983	3.983	3.983	3.983	0	21.632	1	5.622	112.44%
4	100	21.059	5.683	0	0	3.983	3.983	3.983	3.983	0	21.059	1	5.683	113.66%
5	100	21.491	5.641	0	0	3.983	3.983	4.027	3.998	0	21.491	1	5.641	112.82%
6	100	24.41	5.17	0	0	5.189	4.83	4.824	4.948	0	24.41	1	5.17	103.40%
7	100	25.595	4.98	0	0	4.327	5.099	4.223	4.550	0	25.595	1	4.98	99.60%
8	100	25.664	5.044	0	0	3.746	3.199	4.856	3.934	0	25.664	1	5.044	100.88%
9	100	49.507	3.571	0	0	4.243	3.993	4.084	4.107	0	49.507	1	3.571	71.42%
10	100	75.308	2.534	0	0	5.623	6.281	3.697	5.200	0	75.308	1	2.534	50.68%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	20.042	5.078	0	0	4.728	4.728	4.728	4.728	0	20.042	1	5.078	101.56%
2	100	19.904	5.052	0	0	4.728	4.728	4.728	4.728	0	19.904	1	5.052	101.04%
3	100	22.352	4.679	0	0	4.732	4.563	4.587	4.627	0	22.352	1	4.679	93.58%
4	100	20.747	5.001	0	0	4.791	4.822	4.822	4.812	0	20.747	1	5.001	100.02%
5	100	22.783	4.831	0	0	5.257	7.421	7.518	6.732	0	22.783	1	4.831	96.62%
6	100	24.954	4.254	0	0	6.681	4.991	4.967	5.546	0	24.954	1	4.254	85.08%
7	100	23.991	4.56	0	0	3.022	3.911	5.149	4.027	0	23.991	1	4.56	91.20%
8	100	33.634	3.64	0	0	4.34	2.158	2.025	2.841	0	33.634	1	3.64	72.80%
9	100	37.114	3.774	0	0	2.886	5.166	2.637	3.563	0	37.114	1	3.774	75.48%
10	100	73.523	1.886	0	0	5.607	9.102	8.576	7.762	0	73.523	1	1.886	37.72%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.981	5.06	0	0	5.115	5.115	5.115	5.115	0	19.981	1	5.06	101.20%
2	100	19.97	5.063	0	0	5.115	5.115	5.115	5.115	0	19.97	1	5.063	101.26%
3	100	21.241	4.935	0	0	5.115	5.09	4.934	5.046	0	21.241	1	4.935	98.70%
4	100	20.645	4.969	0	0	5.014	5.021	5.021	5.019	0	20.645	1	4.969	99.38%
5	100	23.216	4.717	0	0	5.481	7.394	7.271	6.715	0	23.216	1	4.717	94.34%
6	100	23.555	4.679	0	0	6.166	3.478	4.55	4.731	0	23.555	1	4.679	93.58%
7	100	23.568	4.551	0	0	2.82	4.417	5.42	4.219	0	23.568	1	4.551	91.02%
8	100	33.827	3.602	0	0	4.61	4.192	2.476	3.759	0	33.827	1	3.602	72.04%
9	100	41.905	3.176	0	0	2.866	2.836	1.987	2.563	0	41.905	1	3.176	63.52%
10	100	49.867	3.336	0	0	3.723	2.993	3.33	3.349	0	49.867	1	3.336	66.72%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.849	5.059	0	0	5.329	5.329	5.329	5.329	0	19.849	1	5.059	101.18%
2	100	19.812	5.076	0	0	5.406	5.47	5.469	5.448	0	19.812	1	5.076	101.52%
3	100	20.819	4.972	0	0	5.478	4.94	4.766	5.061	0	20.819	1	4.972	99.44%
4	100	20.231	5.081	0	0	4.766	4.766	4.766	4.766	0	20.231	1	5.081	101.62%
5	100	20.646	5.024	0	0	3.72	3.148	3.199	3.356	0	20.646	1	5.024	100.48%
6	100	24.605	4.664	0	0	5.157	5.262	5.682	5.367	0	24.605	1	4.664	93.28%
7	100	32.353	3.762	0	0	6.515	5.504	5.606	5.875	0	32.353	1	3.762	75.24%
8	100	34.424	3.556	0	0	4.717	3.54	2.476	3.578	0	34.424	1	3.556	71.12%
9	100	36.883	3.545	0	0	2.505	2.326	1.872	2.234	0	36.883	1	3.545	70.90%
10	100	55.644	2.529	0	0	5.315	5.669	3.43	4.805	0	55.644	1	2.529	50.58%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.912	5.062	0	0	4.028	4.028	4.028	4.028	0	19.912	1	5.062	101.24%
2	100	19.908	5.073	0	0	4.028	4.028	4.028	4.028	0	19.908	1	5.073	101.46%
3	100	20.677	4.969	0	0	4.028	4.055	4.169	4.084	0	20.677	1	4.969	99.38%
4	100	20.199	5.049	0	0	4.169	4.169	4.169	4.169	0	20.199	1	5.049	100.98%
5	100	22.776	4.845	0	0	4.739	7.535	7.605	6.626	0	22.776	1	4.845	96.90%
6	100	24.829	4.537	0	0	6.423	3.223	4.213	4.620	0	24.829	1	4.537	90.74%
7	100	34.91	3.89	0	0	2.348	2.107	2.931	2.462	0	34.91	1	3.89	77.80%
8	100	26.648	4.407	0	0	2.254	2.356	2.677	2.429	0	26.648	1	4.407	88.14%
9	100	44.745	3.462	0	0	3.564	3.882	2.746	3.397	0	44.745	1	3.462	69.24%
10	100	57.768	2.559	0	0	5.33	5.663	3.913	4.969	0	57.768	1	2.559	51.18%

Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.919	5.06	0	0	4.966	4.966	4.966	4.966	0	19.919	1	5.06	101.20%
2	100	19.893	5.093	0	0	4.966	4.966	4.966	4.966	0	19.893	1	5.093	101.86%
3	100	21.396	4.772	0	0	4.966	4.696	4.637	4.766	0	21.396	1	4.772	95.44%
4	100	20.499	4.95	0	0	4.637	4.691	4.78	4.703	0	20.499	1	4.95	99.00%
5	100	24.001	4.638	0	0	5.383	7.506	7.68	6.856	0	24.001	1	4.638	92.76%
6	100	23.64	4.761	0	0	6.315	3.148	4.257	4.573	0	23.64	1	4.761	95.22%
7	100	35.32	3.855	0	0	2.32	2.136	3.437	2.631	0	35.32	1	3.855	77.10%
8	100	38.512	3.564	0	0	6.007	5.456	4.691	5.385	0	38.512	1	3.564	71.28%
9	100	49.524	3.539	0	0	3.818	2.354	2.297	2.823	0	49.524	1	3.539	70.78%
10	100	60.048	2.497	1	0	3.786	1.935	1.79	2.504	25	85.048	0	0	49.94%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.85	5.09	0	0	4.862	4.862	4.862	4.862	0	19.85	1	5.09	101.80%
2	100	20.48	5.01	0	0	4.896	4.956	4.955	4.936	0	20.48	1	5.01	100.20%
3	100	21.394	4.944	0	0	4.971	4.771	4.721	4.821	0	21.394	1	4.944	98.88%
4	100	20.737	4.979	0	0	4.751	4.768	4.768	4.762	0	20.737	1	4.979	99.58%
5	100	22.564	4.883	0	0	5.334	7.516	7.505	6.785	0	22.564	1	4.883	97.66%
6	100	24.085	4.367	0	0	6.668	3.4	3.547	4.538	0	24.085	1	4.367	87.34%
7	100	24.517	4.614	0	0	2.917	4.32	4.474	3.904	0	24.517	1	4.614	92.28%
8	100	60.515	2.658	1	2	3.134	2.124	2.165	2.474	25	85.515	0	0	53.16%
9	100	65.738	2.658	0	0	3.184	3.001	3.587	3.257	0	65.738	1	2.658	53.16%
10	100	66.051	2.138	1	0	4.896	5.568	3.006	4.490	25	91.051	0	0	42.76%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	19.942	5.057	0	0	5.031	5.031	5.031	5.031	0	19.942	1	5.057	101.14%
2	100	19.877	5.075	0	0	5.031	5.031	5.031	5.031	0	19.877	1	5.075	101.50%
3	100	20.625	4.949	0	0	5.046	5.17	5.172	5.129	0	20.625	1	4.949	98.98%
4	100	20.078	5.077	0	0	5.065	4.984	4.984	5.011	0	20.078	1	5.077	101.54%
5	100	24.503	4.558	0	0	5.476	7.071	6.597	6.381	0	24.503	1	4.558	91.16%
6	100	23.982	4.682	0	0	4.982	2.697	4.095	3.925	0	23.982	1	4.682	93.64%
7	100	34.811	3.879	0	0	2.342	2.037	2.75	2.376	0	34.811	1	3.879	77.58%
8	100	35.409	3.519	0	0	2.314	2.605	2.624	2.514	0	35.409	1	3.519	70.38%
