Trees			
	Target Speed	7	m/s
	Penalty Time	5	sec
	Collision penalty	35	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.295	6.922	0	0	6.263	6.263	6.263	6.263	0	14.295	1	6.922	98.89%
2	100	15.391	7.561	0	0	6.263	5.931	5.586	5.927	0	15.391	1	7.561	108.01%
3	100	15.31	7.562	0	0	5.586	5.586	5.586	5.586	0	15.31	1	7.562	108.03%
4	100	16.771	7.097	0	0	5.674	8.487	7.644	7.268	0	16.771	1	7.097	101.39%
5	100	14.705	7.735	0	0	6.705	6.326	6.368	6.466	0	14.705	1	7.735	110.50%
6	100	17.147	7.077	0	0	8.077	8.059	8.189	8.108	0	17.147	1	7.077	101.10%
7	100	20.527	6.24	0	0	8.192	7.517	6.969	7.559	0	20.527	1	6.24	89.14%
8	100	30.761	4.82	2	0	7.071	5.583	6.228	6.294	70	100.761	0	0	68.86%
9	100	32.021	4.406	1	0	7.31	6.141	6.082	6.511	35	67.021	0	0	62.94%
10	100	72.05	2.41	0	0	7.357	7.474	8.322	7.718	0	72.05	1	2.41	34.43%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.341	7.031	0	0	6.157	6.157	6.157	6.157	0	14.341	1	7.031	100.44%
2	100	14.746	6.979	0	0	6.157	6.157	6.157	6.157	0	14.746	1	6.979	99.70%
3	100	14.404	6.999	0	0	6.157	6.157	6.157	6.157	0	14.404	1	6.999	99.99%
4	100	14.558	6.985	0	0	6.157	6.157	6.157	6.157	0	14.558	1	6.985	99.79%
5	100	16.576	6.823	0	0	6.743	9.831	10.01	8.861	0	16.576	1	6.823	97.47%
6	100	16.956	6.662	0	0	8.084	5.46	7.99	7.178	0	16.956	1	6.662	95.17%
7	100	46.995	3.9	1	0	8.38	8.603	6.377	7.787	35	81.995	0	0	55.71%
8	100	42.852	3.51	1	0	4.937	4.285	6.024	5.082	35	77.852	0	0	50.14%
9	100	49.139	2.957	1	0	5.139	6.362	6.769	6.09	35	84.139	0	0	42.24%
10	100	65.627	2.299	1	0	8.048	6.496	8.139	7.561	35	100.627	0	0	32.84%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.332	6.986	0	0	6.3	6.3	6.3	6.3	0	14.332	1	6.986	99.80%
2	100	14.726	6.88	0	0	6.3	5.811	5.074	5.728	0	14.726	1	6.88	98.29%
3	100	14.568	6.974	0	0	5.072	5.072	5.072	5.072	0	14.568	1	6.974	99.63%
4	100	15.093	6.855	0	0	4.878	4.627	4.627	4.711	0	15.093	1	6.855	97.93%
5	100	15.26	7.033	0	0	4.927	5.101	5.057	5.028	0	15.26	1	7.033	100.47%
6	100	17.888	6.543	0	0	7.353	8.36	8.31	8.008	0	17.888	1	6.543	93.47%
7	100	18.399	6.31	0	0	6.53	5.553	5.44	5.841	0	18.399	1	6.31	90.14%
8	100	34.015	4.271	1	0	8.77	5.616	7.773	7.386	35	69.015	0	0	61.01%
9	100	61.053	2.909	1	0	7.868	5.294	5.918	6.36	35	96.053	0	0	41.56%
10	100	63.561	2.246	2	0	8.171	7.895	7.944	8.003	70	133.561	0	0	32.09%

Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.396	6.986	0	0	7.466	7.466	7.466	7.466	0	14.396	1	6.986	99.80%
2	100	15.362	6.575	0	0	7.563	7.7	7.701	7.655	0	15.362	1	6.575	93.93%
3	100	16.976	6.059	0	0	7.672	7.126	7.049	7.282	0	16.976	1	6.059	86.56%
4	100	17.548	5.964	0	0	6.97	6.473	6.47	6.638	0	17.548	1	5.964	85.20%
5	100	18.278	5.725	0	0	5.93	5.112	5.101	5.381	0	18.278	1	5.725	81.79%
6	100	25.925	4.612	0	0	7.233	7.275	7.323	7.277	0	25.925	1	4.612	65.89%
7	100	32.685	4.326	0	0	4.563	4.303	5.245	4.704	0	32.685	1	4.326	61.80%
8	100	25.559	4.425	0	0	4.666	4.255	4.445	4.455	0	25.559	1	4.425	63.21%
9	100	49.285	3.672	0	0	5.611	5.635	5.461	5.569	0	49.285	1	3.672	52.46%
10	100	38.807	3.299	0	0	7.404	7.876	7.855	7.712	0	38.807	1	3.299	47.13%

Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.293	7.039	0	0	7.005	7.005	7.005	7.005	0	14.293	1	7.039	100.56%
2	100	14.261	7.044	0	0	7.005	7.005	7.005	7.005	0	14.261	1	7.044	100.63%
3	100	15.608	6.498	0	0	7.048	7.26	7.24	7.183	0	15.608	1	6.498	92.83%
4	100	14.509	7.007	0	0	7.203	7.055	7.057	7.105	0	14.509	1	7.007	100.10%
5	100	20.125	5.484	0	0	7.553	9.216	9.158	8.642	0	20.125	1	5.484	78.34%
6	100	19.64	5.284	0	0	8.165	7.461	7.695	7.774	0	19.64	1	5.284	75.49%
7	100	29.457	3.9	0	0	5.947	8.614	8.221	7.594	0	29.457	1	3.9	55.71%
8	100	31.799	3.853	0	0	6.62	4.562	4.37	5.184	0	31.799	1	3.853	55.04%
9	100	38.162	3.117	1	0	5.213	5.925	5.164	5.434	35	73.162	0	0	44.53%
10	100	47.615	2.743	0	0	8.224	5.231	4.295	5.917	0	47.615	1	2.743	39.19%

Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.284	7.049	0	0	6.04	6.04	6.04	6.04	0	14.284	1	7.049	100.70%
2	100	14.281	7.072	0	0	6.04	6.04	6.04	6.04	0	14.281	1	7.072	101.03%
3	100	15.496	6.612	0	0	6.04	6.099	6.319	6.153	0	15.496	1	6.612	94.46%
4	100	15.583	6.571	0	0	6.383	6.418	6.419	6.407	0	15.583	1	6.571	93.87%
5	100	20.342	5.472	0	0	7.071	9.193	9.277	8.514	0	20.342	1	5.472	78.17%
6	100	19.136	5.336	0	0	8.048	6.228	6.752	7.009	0	19.136	1	5.336	76.23%
7	100	24.032	4.649	0	0	5.344	7.008	6.705	6.352	0	24.032	1	4.649	66.41%
8	100	38.689	3.698	0	0	6.897	4.769	4.724	5.463	0	38.689	1	3.698	52.83%
9	100	42.379	3.76	0	0	5.143	5.474	5.205	5.274	0	42.379	1	3.76	53.71%
10	100	35.211	3.526	0	0	6.712	8.519	9.044	8.092	0	35.211	1	3.526	50.37%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	14.291	7.039	0	0	7.59	7.59	7.59	7.59	0	14.291	1	7.039	100.56%
2	100	16.225	6.253	0	0	7.811	7.965	7.966	7.914	0	16.225	1	6.253	89.33%
3	100	17.528	5.813	0	0	8.256	8.617	8.67	8.514	0	17.528	1	5.813	83.04%
4	100	16.039	6.456	0	0	8.103	6.996	6.988	7.362	0	16.039	1	6.456	92.23%
