Trees			
	Target Speed	2	m/s
	Penalty Time	5	sec
	Collision penalty	10	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.372	2.03	0	0	8.231	8.231	8.231	8.231	0	50.372	1	2.03	101.50%
2	100	49.745	2.04	0	0	8.231	8.231	8.231	8.231	0	49.745	1	2.04	102.00%
3	100	49.968	2.037	0	0	8.231	8.231	8.231	8.231	0	49.968	1	2.037	101.85%
4	100	50.373	2.039	0	0	8.231	8.231	8.231	8.231	0	50.373	1	2.039	101.95%
5	100	52.766	2.035	0	0	8.293	9.41	9.574	9.092	0	52.766	1	2.035	101.75%
6	100	53.721	2.055	0	0	8.55	5.914	5.913	6.792	0	53.721	1	2.055	102.75%
7	100	53.186	2.034	0	0	4.963	5.14	6.348	5.484	0	53.186	1	2.034	101.70%
8	100	52.394	2.047	0	0	6.687	6.324	6.677	6.563	0	52.394	1	2.047	102.35%
9	100	112.892	1.476	0	0	5.58	4.496	4.529	4.868	0	112.892	1	1.476	73.80%
10	100	118.91	1.464	0	0	4.301	6.291	7.624	6.072	0	118.91	1	1.464	73.20%
Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.02	2.011	0	0	7.115	7.115	7.115	7.115	0	50.02	1	2.011	100.55%
2	100	50.035	2.02	0	0	7.115	7.115	7.115	7.115	0	50.035	1	2.02	101.00%
3	100	51.106	2.039	0	0	7.115	5.92	5.694	6.243	0	51.106	1	2.039	101.95%
4	100	50.811	2.023	0	0	5.694	5.694	5.694	5.694	0	50.811	1	2.023	101.15%
5	100	51.658	2.03	0	0	5.499	5.413	5.52	5.477	0	51.658	1	2.03	101.50%
6	100	55.604	2.056	0	0	7.714	7.854	7.698	7.755	0	55.604	1	2.056	102.80%
7	100	53.297	2.048	0	0	5.134	5.576	6.638	5.783	0	53.297	1	2.048	102.40%
8	100	68.79	1.753	0	0	6.594	6.167	4.574	5.778	0	68.79	1	1.753	87.65%
9	100	76.468	1.753	0	0	4.363	4.143	4.034	4.18	0	76.468	1	1.753	87.65%
10	100	139.109	1.078	0	0	5.262	5.369	8.6	6.41	0	139.109	1	1.078	53.90%
Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.746	2.07	0	0	8.345	8.345	8.345	8.345	0	50.746	1	2.07	103.50%
2	100	50.524	2.062	0	0	8.345	8.345	8.345	8.345	0	50.524	1	2.062	103.10%
3	100	57.519	1.813	0	0	8.265	5.639	5.367	6.424	0	57.519	1	1.813	90.65%
4	100	50.262	2.121	0	0	5.367	5.367	5.367	5.367	0	50.262	1	2.121	106.05%
5	100	52.597	2.02	0	0	5.209	4.997	5.003	5.07	0	52.597	1	2.02	101.00%
6	100	52.577	2.078	0	0	5.49	5.606	6.498	5.865	0	52.577	1	2.078	103.90%
7	100	53.103	2.041	0	0	4.878	5.549	6.855	5.761	0	53.103	1	2.041	102.05%
8	100	97.362	1.538	0	0	6.691	4.957	3.578	5.075	0	97.362	1	1.538	76.90%
9	100	107.546	1.63	0	0	5.303	5.204	5.568	5.358	0	107.546	1	1.63	81.50%
10	100	153.403	1.48	0	0	4.748	3.965	4.223	4.312	0	153.403	1	1.48	74.00%
Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	50.08	2.013	0	0	5.722	5.722	5.722	5.722	0	50.08	1	2.013	100.65%
2	100	50.832	2.02	0	0	5.722	5.722	5.722	5.722	0	50.832	1	2.02	101.00%
3	100	50.327	2.015	0	0	5.722	5.722	5.722	5.722	0	50.327	1	2.015	100.75%
4	100	50.286	2.013	0	0	5.722	5.722	5.722	5.722	0	50.286	1	2.013	100.65%
5	100	54.899	2.046	0	0	6.435	9.065	8.779	8.093	0	54.899	1	2.046	102.30%
6	100	54.113	2.039	0	0	6.583	5.021	5.827	5.81	0	54.113	1	2.039	101.95%
7	100	52.997	2.033	0	0	4.714	5.699	6.93	5.781	0	52.997	1	2.033	101.65%
