Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.059	10.013	0	0	7.48	7.481	7.481	7.481	0	10.059	1	10.013	100.13%
2	100	10.962	9.262	0	0	7.519	7.664	7.669	7.617	0	10.962	1	9.262	92.62%
3	100	12.965	8.013	0	0	7.629	7.356	7.009	7.331	0	12.965	1	8.013	80.13%
4	100	12.141	8.426	0	0	7.672	7.893	7.894	7.82	0	12.141	1	8.426	84.26%
5	100	28.916	4.234	0	0	7.028	6.609	6.667	6.768	0	28.916	1	4.234	42.34%
6	100	20.938	5.169	1	0	6.344	5.37	5.918	5.877	50	70.938	0	0	51.69%
7	100	20.575	5.539	2	0	4.912	5.201	4.97	5.028	100	120.575	0	0	55.39%
8	100	26.507	4.602	1	0	5.227	5.165	6.28	5.557	50	76.507	0	0	46.02%
9	100	23.215	5.502	0	0	6.325	6.328	4.599	5.751	0	23.215	1	5.502	55.02%
10	100	71.621	2.177	2	0	3.969	5.131	6.413	5.171	100	171.621	0	0	21.77%

Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.075	9.961	0	0	7.396	7.396	7.396	7.396	0	10.075	1	9.961	99.61%
2	100	10.136	9.989	0	0	7.326	7.211	7.209	7.249	0	10.136	1	9.989	99.89%
3	100	11.219	9.397	0	0	7.161	5.845	5.679	6.228	0	11.219	1	9.397	93.97%
4	100	13.97	7.918	0	0	5.033	6.44	6.561	6.011	0	13.97	1	7.918	79.18%
5	100	11.622	9.325	0	0	7.129	9.343	9.36	8.611	0	11.622	1	9.325	93.25%
6	100	19.593	5.744	0	0	8.716	7.518	7.315	7.85	0	19.593	1	5.744	57.44%
7	100	25.694	4.919	1	0	6.153	6.225	6.703	6.36	50	75.694	0	0	49.19%
8	100	26.228	4.85	1	0	6.285	7.119	7.661	7.022	50	76.228	0	0	48.50%
9	100	38.834	4.01	0	0	5.946	6.616	7.758	6.773	0	38.834	1	4.01	40.10%
10	100	55.928	2.657	1	0	7.974	7.957	7.201	7.711	50	105.928	0	0	26.57%

Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	10.053	10.014	0	0	7.413	7.414	7.414	7.414	0	10.053	1	10.014	100.14%
2	100	10.011	10.129	0	0	7.414	7.414	7.414	7.414	0	10.011	1	10.129	101.29%
3	100	10.228	9.928	0	0	7.378	6.152	5.944	6.491	0	10.228	1	9.928	99.28%
4	100	10.497	9.808	0	0	5.941	5.941	5.941	5.941	0	10.497	1	9.808	98.08%
5	100	11.652	9.331	0	0	5.831	5.648	5.476	5.652	0	11.652	1	9.331	93.31%
6	100	14.129	7.919	1	0	5.613	5.428	5.509	5.517	50	64.129	0	0	79.19%
7	100	26.725	5.412	1	0	4.799	6.423	5.351	5.524	50	76.725	0	0	54.12%
8	100	36.855	4.066	0	0	5.159	7.092	6.773	6.341	0	36.855	1	4.066	40.66%
9	100	25.221	5.197	0	0	8.998	8.43	7.709	8.379	0	25.221	1	5.197	51.97%
10	100	35.8	3.862	2	0	8.062	5.549	7.274	6.962	100	135.8	0	0	38.62%

Iteration  9	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.988	10.097	0	0	5.702	5.704	5.704	5.703	0	9.988	1	10.097	100.97%
2	100	10.094	9.964	0	0	5.704	5.704	5.704	5.704	0	10.094	1	9.964	99.64%
3	100	10.716	9.567	0	0	5.701	5.401	5.651	5.584	0	10.716	1	9.567	95.67%
4	100	12.915	8.299	0	0	5.986	7.277	7.058	6.774	0	12.915	1	8.299	82.99%
5	100	21.727	6.073	0	0	6.169	7.985	8.304	7.486	0	21.727	1	6.073	60.73%
6	100	26.314	5.338	1	0	7.903	7.308	6.839	7.35	50	76.314	0	0	53.38%
7	100	45.579	3.048	1	1	6.805	6.661	6.602	6.689	50	95.579	0	0	30.48%
8	100	61.253	2.93	2	0	7.368	8.243	7.31	7.64	100	161.253	0	0	29.30%
9	100	50.84	3.337	0	0	5.644	5.265	4.922	5.277	0	50.84	1	3.337	33.37%
10	100	86.268	2.082	3	1	5.459	7.843	5.161	6.154	150	236.268	0	0	20.82%

Iteration  10	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	9.95	10.058	0	0	5.675	5.677	5.677	5.676	0	9.95	1	10.058	100.58%
2	100	11.844	9.034	0	0	5.677	5.918	6.262	5.952	0	11.844	1	9.034	90.34%
3	100	10.63	9.675	0	0	6.272	7.359	7.688	7.106	0	10.63	1	9.675	96.75%
4	100	13.33	8.081	0	0	7.548	6.576	6.541	6.888	0	13.33	1	8.081	80.81%
5	100	24.17	5.461	1	0	6.536	7.717	9.754	8.002	50	74.17	0	0	54.61%
6	100	28.063	5.481	2	0	9.949	8.039	6.935	8.308	100	128.063	0	0	54.81%
7	100	40.062	3.493	1	0	8.388	8.128	6.901	7.806	50	90.062	0	0	34.93%
8	100	78.042	2.812	0	0	6.2	7.229	6.741	6.723	0	78.042	1	2.812	28.12%
9	100	67.131	3.008	1	0	7.827	7.09	8.158	7.692	50	117.131	0	0	30.08%
10	100	74.235	2.369	1	0	6.817	8.46	7.435	7.571	50	124.235	0	0	23.69%
