Trees			
	Target Speed	3	m/s
	Penalty Time	5	sec
	Collision penalty	15	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	33.313	3.08	0	0	7.225	7.225	7.225	7.225	0	33.313	1	3.08	102.67%
2	100	33.331	3.051	0	0	7.225	7.225	7.225	7.225	0	33.331	1	3.051	101.70%
3	100	33.939	3.073	0	0	7.207	6.459	6.336	6.667	0	33.939	1	3.073	102.43%
4	100	33.985	3.081	0	0	6.336	6.336	6.336	6.336	0	33.985	1	3.081	102.70%
5	100	34.551	3.086	0	0	5.853	5.546	5.556	5.652	0	34.551	1	3.086	102.87%
6	100	38.255	3.095	0	0	8.012	8.113	7.945	8.023	0	38.255	1	3.095	103.17%
7	100	51.317	2.693	0	0	4.571	3.863	4.847	4.427	0	51.317	1	2.693	89.77%
8	100	36.862	3.048	0	0	4.499	4.373	4.655	4.509	0	36.862	1	3.048	101.60%
9	100	72.004	2.237	0	0	5.638	5.367	5.518	5.508	0	72.004	1	2.237	74.57%
10	100	43.063	2.738	0	0	3.968	5.044	8.675	5.896	0	43.063	1	2.738	91.27%
Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	33.211	3.055	0	0	5.821	5.821	5.821	5.821	0	33.211	1	3.055	101.83%
2	100	33.223	3.111	0	0	5.821	5.821	5.821	5.821	0	33.223	1	3.111	103.70%
3	100	33.79	3.016	0	0	5.821	5.821	5.821	5.821	0	33.79	1	3.016	100.53%
4	100	33.523	3.028	0	0	5.821	5.821	5.821	5.821	0	33.523	1	3.028	100.93%
5	100	34.611	3.033	0	0	5.821	5.821	5.821	5.821	0	34.611	1	3.033	101.10%
6	100	34.669	3.019	0	0	5.821	5.821	5.821	5.821	0	34.669	1	3.019	100.63%
7	100	35.854	2.988	0	0	4.671	5.488	6.509	5.556	0	35.854	1	2.988	99.60%
8	100	35.405	3.065	0	0	5.821	5.881	6.192	5.965	0	35.405	1	3.065	102.17%
9	100	79.659	2.158	0	0	6.916	5.803	6.473	6.397	0	79.659	1	2.158	71.93%
10	100	82.944	1.794	1	0	8.111	7.985	8.838	8.311	15	97.944	0	0	59.80%
Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
