Trees			
	Target Speed	4	m/s
	Penalty Time	5	sec
	Collision penalty	20	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	24.931	4.038	0	0	5.902	5.902	5.902	5.902	0	24.931	1	4.038	100.95%
2	100	25.65	4.548	0	0	5.902	5.796	5.527	5.742	0	25.65	1	4.548	113.70%
3	100	26.656	4.472	0	0	5.533	5.503	5.48	5.505	0	26.656	1	4.472	111.80%
4	100	25.57	4.589	0	0	5.48	5.48	5.48	5.48	0	25.57	1	4.589	114.73%
5	100	25.73	4.584	0	0	5.48	5.48	5.548	5.503	0	25.73	1	4.584	114.60%
6	100	29.016	4.284	0	0	8.317	8.616	8.472	8.468	0	29.016	1	4.284	107.10%
7	100	35.885	3.894	0	0	5.14	4.263	4.957	4.787	0	35.885	1	3.894	97.35%
8	100	30.375	4.114	0	0	5.244	5.184	4.851	5.093	0	30.375	1	4.114	102.85%
9	100	34.415	3.731	1	0	5.015	5.336	5.263	5.205	20	54.415	0	0	93.28%
10	100	55.638	2.998	1	0	7.393	4.571	4.046	5.337	20	75.638	0	0	74.95%
Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	25.159	3.977	0	0	5.862	5.862	5.862	5.862	0	25.159	1	3.977	99.43%
2	100	25.438	4.031	0	0	5.862	5.699	5.486	5.682	0	25.438	1	4.031	100.78%
3	100	25.362	4.017	0	0	5.486	5.486	5.486	5.486	0	25.362	1	4.017	100.43%
4	100	25.316	4.045	0	0	5.486	5.486	5.486	5.486	0	25.316	1	4.045	101.13%
5	100	25.683	4.007	0	0	5.486	5.486	5.561	5.511	0	25.683	1	4.007	100.18%
6	100	28.041	4.047	0	0	8.843	9.114	9.072	9.01	0	28.041	1	4.047	101.18%
7	100	29.007	3.849	0	0	7.185	6.874	7.383	7.147	0	29.007	1	3.849	96.23%
8	100	26.88	3.953	0	0	6.793	6.715	6.707	6.738	0	26.88	1	3.953	98.83%
9	100	42.424	3.034	1	0	7.771	8.596	8.021	8.129	20	62.424	0	0	75.85%
10	100	40.43	3.3	1	0	4.773	4.486	4.278	4.512	20	60.43	0	0	82.50%
Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	24.929	4.021	0	0	5.883	5.883	5.883	5.883	0	24.929	1	4.021	100.53%
2	100	26.76	3.856	0	0	5.883	5.962	6.071	5.972	0	26.76	1	3.856	96.40%
3	100	25.919	3.911	0	0	6.078	6.09	6.071	6.08	0	25.919	1	3.911	97.78%
4	100	25.167	4.017	0	0	6.071	6.071	6.071	6.071	0	25.167	1	4.017	100.43%
5	100	29.094	3.771	0	0	6.795	9.074	9.412	8.427	0	29.094	1	3.771	94.28%
6	100	29.238	3.792	0	0	8.33	5.557	6.361	6.749	0	29.238	1	3.792	94.80%
7	100	43.151	3.121	0	0	4.419	4.183	4.953	4.518	0	43.151	1	3.121	78.03%
8	100	33.335	3.341	0	0	5.162	4.396	4.383	4.647	0	33.335	1	3.341	83.53%
9	100	53.557	3.036	0	0	5.807	5.113	5.238	5.386	0	53.557	1	3.036	75.90%
10	100	55.732	2.672	0	0	6.384	4.141	5.41	5.312	0	55.732	1	2.672	66.80%
Iteration  4	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	25.035	4.054	0	0	7.288	7.288	7.288	7.288	0	25.035	1	4.054	101.35%
2	100	25.125	4.058	0	0	7.288	7.288	7.288	7.288	0	25.125	1	4.058	101.45%
3	100	29.619	3.742	0	0	7.279	6.08	5.214	6.191	0	29.619	1	3.742	93.55%
4	100	25.565	4.048	0	0	5.125	5.125	5.125	5.125	0	25.565	1	4.048	101.20%
5	100	25.596	4.041	0	0	4.979	4.752	4.737	4.823	0	25.596	1	4.041	101.03%
6	100	27.573	4.023	0	0	7.24	8.071	8.242	7.851	0	27.573	1	4.023	100.58%
7	100	27.206	3.957	0	0	6.687	7.246	6.358	6.764	0	27.206	1	3.957	98.93%
8	100	27.695	4.033	0	0	5.274	4.351	4.571	4.732	0	27.695	1	4.033	100.83%
9	100	54.509	3.156	0	0	5.46	5.427	5.374	5.42	0	54.509	1	3.156	78.90%
10	100	64.292	2.268	0	0	5.668	5.308	6.757	5.911	0	64.292	1	2.268	56.70%
Iteration  5	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	25.044	4.016	0	0	7.41	7.41	7.41	7.41	0	25.044	1	4.016	100.40%
2	100	25.176	4.05	0	0	7.41	7.41	7.41	7.41	0	25.176	1	4.05	101.25%
3	100	25.352	4.049	0	0	7.408	7.161	7.129	7.233	0	25.352	1	4.049	101.23%
4	100	25.276	4.02	0	0	7.129	7.129	7.129	7.129	0	25.276	1	4.02	100.50%
5	100	27.405	4.092	0	0	7.434	9.501	9.608	8.848	0	27.405	1	4.092	102.30%
6	100	28.377	3.722	0	0	9.029	7.421	7.712	8.054	0	28.377	1	3.722	93.05%
7	100	27.462	4.065	0	0	5.033	5.873	7.092	5.999	0	27.462	1	4.065	101.63%
8	100	43.502	2.895	0	0	6.251	5.04	4.395	5.229	0	43.502	1	2.895	72.38%
9	100	49.905	3.066	0	0	5.505	5.971	5.334	5.603	0	49.905	1	3.066	76.65%
10	100	38.534	3.235	0	0	6.821	8.099	9.291	8.07	0	38.534	1	3.235	80.88%
Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	25.292	4.053	0	0	8.265	8.265	8.265	8.265	0	25.292	1	4.053	101.33%
2	100	25.086	4.047	0	0	8.265	8.265	8.265	8.265	0	25.086	1	4.047	101.18%
3	100	25.997	4.024	0	0	8.204	6.903	6.623	7.243	0	25.997	1	4.024	100.60%
4	100	25.386	4.033	0	0	6.623	6.623	6.623	6.623	0	25.386	1	4.033	100.83%
5	100	27.519	4.049	0	0	7.121	9.526	9.48	8.709	0	27.519	1	4.049	101.23%
6	100	27.625	4.015	0	0	8.547	5.214	6.106	6.622	0	27.625	1	4.015	100.38%
7	100	27.733	4.031	0	0	4.63	5.291	4.682	4.868	0	27.733	1	4.031	100.78%
8	100	47.663	3.165	0	0	6.064	5.427	3.956	5.149	0	47.663	1	3.165	79.13%
9	100	73.993	2.267	0	0	5.716	4.259	5.103	5.026	0	73.993	1	2.267	56.68%
10	100	64.115	2.215	2	0	5.648	5.13	3.612	4.797	40	104.115	0	0	55.38%
Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	24.959	4.018	0	0	5.858	5.858	5.858	5.858	0	24.959	1	4.018	100.45%
2	100	25.538	4.068	0	0	5.858	5.858	5.858	5.858	0	25.538	1	4.068	101.70%
3	100	25.238	4.011	0	0	5.858	5.858	5.858	5.858	0	25.238	1	4.011	100.28%
4	100	25.162	4.026	0	0	5.858	5.858	5.858	5.858	0	25.162	1	4.026	100.65%
5	100	31.157	3.723	0	0	6.264	9.194	9.298	8.252	0	31.157	1	3.723	93.08%
6	100	27.294	4.051	0	0	8.74	5.593	6.532	6.955	0	27.294	1	4.051	101.28%
7	100	39.271	3.473	0	0	4.442	4.253	5.131	4.609	0	39.271	1	3.473	86.83%
8	100	27.978	4.009	0	0	4.623	4.303	4.482	4.469	0	27.978	1	4.009	100.23%
9	100	61.357	2.667	0	0	5.253	5.876	6.91	6.013	0	61.357	1	2.667	66.68%
