Trees			
	Target Speed	8	m/s
	Penalty Time	5	sec
	Collision penalty	40	sec
	
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.481	8.014	0	0	5.5	5.5	5.5	5.5	0	12.481	1	8.014	100.18%
2	100	13.13	7.698	0	0	5.5	5.449	5.313	5.421	0	13.13	1	7.698	96.23%
3	100	13.515	7.541	0	0	5.312	5.789	6.07	5.724	0	13.515	1	7.541	94.26%
4	100	13.679	7.478	0	0	6.391	6.526	6.526	6.481	0	13.679	1	7.478	93.48%
5	100	14.81	7.05	0	0	5.385	4.659	5.184	5.076	0	14.81	1	7.05	88.13%
6	100	16.27	6.678	0	0	7.428	7.356	8.848	7.877	0	16.27	1	6.678	83.48%
7	100	17.614	6.409	0	0	6.989	7.186	5.922	6.699	0	17.614	1	6.409	80.11%
8	100	32.744	4.085	0	0	8.144	8.337	7.242	7.908	0	32.744	1	4.085	51.06%
9	100	26.32	4.855	0	0	7.581	6.911	8.549	7.68	0	26.32	1	4.855	60.69%
10	100	59.194	2.995	0	0	9.824	9.147	8.421	9.131	0	59.194	1	2.995	37.44%

Iteration  2	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.576	7.995	0	0	6.205	6.205	6.205	6.205	0	12.576	1	7.995	99.94%
2	100	12.68	7.944	0	0	6.205	6.064	5.986	6.085	0	12.68	1	7.944	99.30%
3	100	12.84	7.93	0	0	5.986	5.986	5.986	5.986	0	12.84	1	7.93	99.13%
4	100	13.915	7.536	0	0	5.758	5.495	5.496	5.583	0	13.915	1	7.536	94.20%
5	100	14.62	7.309	0	0	5.13	4.578	4.866	4.858	0	14.62	1	7.309	91.36%
6	100	15.79	7.253	0	0	7.495	8.652	9.284	8.477	0	15.79	1	7.253	90.66%
7	100	29.777	4.566	0	0	5.18	4.528	5.5	5.069	0	29.777	1	4.566	57.08%
8	100	24.18	5.463	0	0	6.257	6.093	5.859	6.07	0	24.18	1	5.463	68.29%
9	100	30.76	4.355	1	0	9.682	10.115	5.806	8.534	40	70.76	0	0	54.44%
10	100	33.826	3.999	1	0	8.543	7.577	8.318	8.146	40	73.826	0	0	49.99%

Iteration  3	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	12.468	8.039	0	0	7.197	7.197	7.197	7.197	0	12.468	1	8.039	100.49%
2	100	13.476	7.574	0	0	7.292	7.476	7.478	7.415	0	13.476	1	7.574	94.68%
3	100	14.339	7.069	0	0	7.787	8.246	8.276	8.103	0	14.339	1	7.069	88.36%
4	100	14.821	6.92	0	0	7.839	7.491	7.469	7.6	0	14.821	1	6.92	86.50%
