Trees														
	Target Speed	1	m/s											
	Penalty Time	5	sec											
	Collision penalty	5	sec											
												
Iteration  1	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
4	100	101.783	1.009	0	0	3.658	3.658	3.658	3.658	0	101.783	1	1.009	100.90%
5	100	102.635	1.017	0	0	3.658	3.658	3.734	3.683	0	102.635	1	1.017	101.70%
6	100	112.155	1.019	0	0	6.606	6.939	6.917	6.821	0	112.155	1	1.019	101.90%
7	100	118.104	1.019	0	0	5.26	5.9	6.155	5.772	0	118.104	1	1.019	101.90%
8	100	104.226	1.003	0	0	5.258	4.949	4.661	4.956	0	104.226	1	1.003	100.30%
9	100	170.677	0.782	0	0	5.349	5.45	5.973	5.591	0	170.677	1	0.782	78.20%
10	100	146.869	0.83	0	0	5.892	6.18	6.895	6.322	0	146.869	1	0.83	83.00%
Iteration  6	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	99.933	1	0	0	3.568	3.568	3.568	3.568	0	99.933	1	1	100.00%
2	100	101.386	1.018	0	0	3.568	3.528	3.474	3.523	0	101.386	1	1.018	101.80%
3	100	101.514	1.012	0	0	3.474	3.474	3.474	3.474	0	101.514	1	1.012	101.20%
4	100	101.281	1.002	0	0	3.474	3.474	3.474	3.474	0	101.281	1	1.002	100.20%
5	100	101.138	0.991	0	0	3.474	3.474	3.549	3.499	0	101.138	1	0.991	99.10%
6	100	108.774	0.982	0	0	4.944	4.876	4.876	4.899	0	108.774	1	0.982	98.20%
7	100	107.314	1.019	0	0	5.333	6.086	5.371	5.597	0	107.314	1	1.019	101.90%
8	100	117.666	0.994	0	0	4.539	2.999	4.52	4.019	0	117.666	1	0.994	99.40%
9	100	178.092	0.997	0	0	4.844	2.662	4.624	4.043	0	178.092	1	0.997	99.70%
10	100	146.466	0.924	0	0	3.113	2.4	2.033	2.515	0	146.466	1	0.924	92.40%
Iteration  7	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	100.007	1.009	0	0	3.571	3.571	3.571	3.571	0	100.007	1	1.009	100.90%
2	100	101.502	1.016	0	0	3.571	3.571	3.571	3.571	0	101.502	1	1.016	101.60%
3	100	102.082	1.019	0	0	3.571	3.571	3.571	3.571	0	102.082	1	1.019	101.90%
4	100	101.772	0.995	0	0	3.571	3.571	3.571	3.571	0	101.772	1	0.995	99.50%
5	100	103.115	0.998	0	0	3.571	3.571	3.681	3.608	0	103.115	1	0.998	99.80%
6	100	111.366	0.996	0	0	6.843	7.159	7.022	7.008	0	111.366	1	0.996	99.60%
7	100	129.899	1.014	0	0	3.459	2.316	2.663	2.813	0	129.899	1	1.014	101.40%
8	100	126.848	1.013	0	0	4.326	3.245	2.922	3.498	0	126.848	1	1.013	101.30%
9	100	213.95	0.925	0	0	3.643	4.49	4.397	4.177	0	213.95	1	0.925	92.50%
10	100	156.888	0.834	0	0	4.929	6.315	6.847	6.030	0	156.888	1	0.834	83.40%
Iteration  8	Distance (m)	Time (s)	Avg. Speed	Collision Count	Manual Corrections	Start Alt.	Mid Alt.	End Alt.	Avg. Alt.	Collision Penalty (s)	Corrected Time (s)	Success	Speed Given Success	% Target Speed Achieved (Avg Speed)
1	100	101.844	0.998	0	0	5.937	5.937	5.937	5.937	0	101.844	1	0.998	99.80%
2	100	101.021	0.998	0	0	5.937	5.937	5.937	5.937	0	101.021	1	0.998	99.80%
3	100	101.762	1.015	0	0	5.915	5.159	5.092	5.389	0	101.762	1	1.015	101.50%
4	100	100.902	1.006	0	0	5.092	5.092	5.092	5.092	0	100.902	1	1.006	100.60%
5	100	104.054	1.004	0	0	4.904	4.763	4.763	4.810	0	104.054	1	1.004	100.40%
6	100	104.079	1.015	0	0	4.763	4.763	4.76	4.762	0	104.079	1	1.015	101.50%
7	100	129.456	1.02	0	0	3.066	2.422	3.033	2.840	0	129.456	1	1.02	102.00%
8	100	112.072	0.995	0	0	2.918	2.977	4.6	3.498	0	112.072	1	0.995	99.50%
9	100	194.742	0.944	0	0	4.934	2.718	3.759	3.804	0	194.742	1	0.944	94.40%
10	100	137.88	0.89	0	0	2.684	2.311	2.251	2.415	0	137.88	1	0.89	89.00%
